export_contribution_type,export_proposal_id,export_proposal_published_at,export_proposal_reference,export_proposal_title,export_proposal_summary,export_proposal_description,export_proposal_author_id,export_proposal_votes_total_count,export_proposal_votes_digital_count,export_proposal_votes_paper_count,export_proposal_votes_total_points_count,export_proposal_votes_digital_points_count,export_proposal_votes_paper_points_count,export_proposal_category_name,export_proposal_theme_title,export_proposal_formatted_address,export_proposal_address_lat,export_proposal_address_lng,export_proposal_district_name,"Donnez une fourchette de coût",export_proposal_estimation,export_proposal_illustration,export_proposal_link,export_proposal_status_name,export_proposal_votes_id,export_proposal_votes_ranking
export_contribution_type_proposal,proposal24,"2017-02-01 00:02:40","""1337-1""","Proposition 1",,TODO,user1,1,1,0,1,1,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-1?_locale=fr-FR,,,
export_contribution_type_proposal_vote,proposal24,"2017-02-01 00:02:40","""1337-1""","Proposition 1",,TODO,user1,1,1,0,1,1,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-1?_locale=fr-FR,,2051,3
export_contribution_type_proposal_vote,proposal24,"2017-02-01 00:02:40","""1337-1""","Proposition 1",,TODO,user1,1,1,0,1,1,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-1?_locale=fr-FR,,2066,3
export_contribution_type_proposal,proposal25,"2017-02-01 00:02:50","""1337-2""","Proposition 2",,TODO,user1,3,3,0,7,7,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-2?_locale=fr-FR,,,
export_contribution_type_proposal_vote,proposal25,"2017-02-01 00:02:50","""1337-2""","Proposition 2",,TODO,user1,3,3,0,7,7,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-2?_locale=fr-FR,,2052,2
export_contribution_type_proposal_vote,proposal25,"2017-02-01 00:02:50","""1337-2""","Proposition 2",,TODO,user1,3,3,0,7,7,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-2?_locale=fr-FR,,2059,2
export_contribution_type_proposal_vote,proposal25,"2017-02-01 00:02:50","""1337-2""","Proposition 2",,TODO,user1,3,3,0,7,7,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-2?_locale=fr-FR,,2061,1
export_contribution_type_proposal_vote,proposal25,"2017-02-01 00:02:50","""1337-2""","Proposition 2",,TODO,user1,3,3,0,7,7,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-2?_locale=fr-FR,,2064,1
export_contribution_type_proposal,proposal26,"2017-02-01 00:26:00","""1337-3""","Proposition 3",,TODO,user1,3,3,0,8,8,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-3?_locale=fr-FR,,,
export_contribution_type_proposal_vote,proposal26,"2017-02-01 00:26:00","""1337-3""","Proposition 3",,TODO,user1,3,3,0,8,8,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-3?_locale=fr-FR,,2053,1
export_contribution_type_proposal_vote,proposal26,"2017-02-01 00:26:00","""1337-3""","Proposition 3",,TODO,user1,3,3,0,8,8,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-3?_locale=fr-FR,,2060,1
export_contribution_type_proposal_vote,proposal26,"2017-02-01 00:26:00","""1337-3""","Proposition 3",,TODO,user1,3,3,0,8,8,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-3?_locale=fr-FR,,2062,2
export_contribution_type_proposal_vote,proposal26,"2017-02-01 00:26:00","""1337-3""","Proposition 3",,TODO,user1,3,3,0,8,8,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-3?_locale=fr-FR,,2065,2
export_contribution_type_proposal,proposal138,"2017-02-01 00:03:40","""1337-4""","Proposition de Jean 1",,TODO,userJean,0,0,0,0,0,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-de-jean-1?_locale=fr-FR,,,
export_contribution_type_proposal,proposal139,"2017-02-01 00:03:41","""1337-5""","Proposition de Jean 2",,TODO,userJean,0,0,0,0,0,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-de-jean-2?_locale=fr-FR,,,
export_contribution_type_proposal,proposal139bis,"2017-02-01 00:03:41","""1337-555555""","Proposition de Jean Duplicate 2",,TODO,userJeanDuplicates,0,0,0,0,0,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-de-jean-duplicate-2?_locale=fr-FR,,,
