export_contribution_type,export_proposal_id,export_proposal_published_at,export_proposal_reference,export_proposal_title,export_proposal_summary,export_proposal_description,export_proposal_author_id,export_proposal_votes_total_count,export_proposal_votes_digital_count,export_proposal_votes_paper_count,export_proposal_votes_total_points_count,export_proposal_votes_digital_points_count,export_proposal_votes_paper_points_count,export_proposal_category_name,export_proposal_theme_title,export_proposal_formatted_address,export_proposal_address_lat,export_proposal_address_lng,export_proposal_district_name,"Zone d’impact","Je souhaite...","Grand Projet","Informations complémentaires sur mon projet","Date prévisionnelle de début de projet","Date prévisionnelle de fin de projet","Montant total du projet","Montant de la subvention sollicitée","Informations sur le porteur de projet","N° du dossier MesDémarches","Je suis...","Raison sociale du porteur de projet","Projet local","Bénéfices environnementaux attendus pour les Franciliens","Plan de financement","Justificatif des dépenses estimées","Avez-vous un numéro SIRET ? (Pour les associations)","Numéro SIRET","Raison sociale","Adresse du siège social","Prénom et Nom du représentant légal","Qualité du représentant légal","Avis de situation SIREN","Composition du conseil d'administration et du bureau","Statuts en vigueur datés et signés","RIB au nom de la raison sociale et à l'adresse du siège social","Charte régionale des valeurs de la République et de la laïcité signée par le représentant légal","Avez-vous un numéro RNA (ou WALDEC pour les associations créées avant 2010)","Numéro RNA (ou WALDEC pour les associations créées avant 2010)","Récépissé de la déclaration en préfecture (greffe des associations)","Prénom & nom du représentant légal","Attestation de régularité fiscale de moins de 3 mois","Attestation de régularité sociale de moins de 3 mois","Chiffres d'affaires comptable","Extrait KBIS",export_proposal_estimation,export_proposal_illustration,export_proposal_link,export_proposal_status_name,export_proposal_votes_id,export_proposal_votes_ranking
export_contribution_type_proposal,proposalIdf1,"2020-02-01 00:00:01","""18-1""","Mon grand projet",,"Je ne crois pas qu'il y ai de petit ou de moyen projet.",userKiroule,0,0,0,0,0,0,,,,,,,,"Renseigner la présentation de mon Grand Projet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-idf/collect/collecte-des-projets-idf-privee/proposals/mon-grand-projet?_locale=fr-FR,"Nouveau projet",,
export_contribution_type_proposal,proposalIdf2,"2020-02-01 00:00:02","""18-2""","Mon projet local en tant qu'entreprise",,"Plus de frites à la cantine.",userJean,0,0,0,0,0,0,"Espaces verts et biodiversité",,,,,"Val de marne (94)",,"Déposer un Projet Local",,,,,,,,,"Une association",,,,,,"J’ai un numéro SIRET",,,,,,,,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-idf/collect/collecte-des-projets-idf-privee/proposals/mon-projet-local-en-tant-quentreprise?_locale=fr-FR,"Nouveau projet",,
export_contribution_type_proposal,proposalIdf3,"2020-02-01 00:00:03","""18-3""","Mon projet local en tant qu'association avec SIRET",,"Faire une boite à dons.",userIan,0,0,0,0,0,0,"Espaces verts et biodiversité",,,,,"Toute la région",,"Déposer un Projet Local",,,,,,,,,"Une entreprise",,,,,,,,,,,,,,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-idf/collect/collecte-des-projets-idf-privee/proposals/mon-projet-local-en-tant-quassociation-avec-siret?_locale=fr-FR,"Nouveau projet",,
export_contribution_type_proposal,proposalIdf4,"2020-02-01 00:00:04","""18-4""","Mon projet local en tant qu'association avec RNA",,"Des stationnements à vélo pluriels partout dans la ville !",userIan,0,0,0,0,0,0,"Propreté, prévention et gestion des déchets, économie circulaire",,,,,"Toute la région",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-idf/collect/collecte-des-projets-idf-privee/proposals/mon-projet-local-en-tant-quassociation-avec-rna?_locale=fr-FR,"Nouveau projet",,
export_contribution_type_proposal_news,proposalIdf4,"2020-02-01 00:00:04","""18-4""","Mon projet local en tant qu'association avec RNA",,"Des stationnements à vélo pluriels partout dans la ville !",userIan,0,0,0,0,0,0,"Propreté, prévention et gestion des déchets, économie circulaire",,,,,"Toute la région",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-idf/collect/collecte-des-projets-idf-privee/proposals/mon-projet-local-en-tant-quassociation-avec-rna?_locale=fr-FR,"Nouveau projet",,
export_contribution_type_proposal_news,proposalIdf4,"2020-02-01 00:00:04","""18-4""","Mon projet local en tant qu'association avec RNA",,"Des stationnements à vélo pluriels partout dans la ville !",userIan,0,0,0,0,0,0,"Propreté, prévention et gestion des déchets, économie circulaire",,,,,"Toute la région",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-idf/collect/collecte-des-projets-idf-privee/proposals/mon-projet-local-en-tant-quassociation-avec-rna?_locale=fr-FR,"Nouveau projet",,
export_contribution_type_proposal,proposalIdf5,"2020-02-01 00:00:05","""18-5""","Mon projet local en tant qu'association sans SIRET ni RNA",,"Végétalisons les champs libres !",userIan,0,0,0,0,0,0,"Propreté, prévention et gestion des déchets, économie circulaire",,,,,"Toute la région",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-idf/collect/collecte-des-projets-idf-privee/proposals/mon-projet-local-en-tant-quassociation-sans-siret-ni-rna?_locale=fr-FR,"Nouveau projet",,
export_contribution_type_proposal_news,proposalIdf5,"2020-02-01 00:00:05","""18-5""","Mon projet local en tant qu'association sans SIRET ni RNA",,"Végétalisons les champs libres !",userIan,0,0,0,0,0,0,"Propreté, prévention et gestion des déchets, économie circulaire",,,,,"Toute la région",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-idf/collect/collecte-des-projets-idf-privee/proposals/mon-projet-local-en-tant-quassociation-sans-siret-ni-rna?_locale=fr-FR,"Nouveau projet",,
export_contribution_type_proposal_news,proposalIdf5,"2020-02-01 00:00:05","""18-5""","Mon projet local en tant qu'association sans SIRET ni RNA",,"Végétalisons les champs libres !",userIan,0,0,0,0,0,0,"Propreté, prévention et gestion des déchets, économie circulaire",,,,,"Toute la région",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-idf/collect/collecte-des-projets-idf-privee/proposals/mon-projet-local-en-tant-quassociation-sans-siret-ni-rna?_locale=fr-FR,"Nouveau projet",,
export_contribution_type_proposal,proposalIdf6,"2020-02-01 00:00:06","""18-6""","Mon projet local en tant qu'organisme public",,"Préserver la biodiversité ordinaire de nos quartiers…",userJean,0,0,0,0,0,0,"Propreté, prévention et gestion des déchets, économie circulaire",,,,,"Val de marne (94)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-idf/collect/collecte-des-projets-idf-privee/proposals/mon-projet-local-en-tant-quorganisme-public?_locale=fr-FR,"Nouveau projet",,
