export_contribution_type,export_proposal_id,export_proposal_published_at,export_proposal_reference,export_proposal_title,export_proposal_summary,export_proposal_description,export_proposal_author_id,export_proposal_category_name,export_proposal_theme_title,export_proposal_formatted_address,export_proposal_address_lat,export_proposal_address_lng,export_proposal_district_name,"Nouvelle section 3","Evaluez l'importance de votre proposition","Evaluez le coût de votre proposition",Documents,Bilans,export_proposal_estimation,export_proposal_illustration,export_proposal_link,export_proposal_status_name
export_contribution_type_proposal,proposal1,"2017-02-01 00:00:00","""1-1""","Ravalement de la façade de la bibliothèque municipale",,"Insert Long Text here",userWelcomattic,Politique,Justice,"10 Cours des Alliés, 35000 Rennes, France",48.1051781,-1.6744521,Beauregard,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/ravalement-de-la-facade-de-la-bibliotheque-municipale?_locale=fr-FR,"En cours"
export_contribution_type_proposal,proposal2,"2017-02-01 00:03:00","""1-2""","Rénovation du gymnase",,"On va en faire un beau gymnase, promis :)",user5,Aménagement,Transport,"263 Avenue Général Leclerc, 35700 Rennes, France",48.119109,-1.6447289,"Nord Saint-Martin",,,,,,,https://capco.dev/media/default/0001/01/gymnase.jpg,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/renovation-du-gymnase?_locale=fr-FR,Approuvé
export_contribution_type_proposal,proposal3,"2017-02-01 00:04:00","""1-3""","Installation de bancs sur la place de la mairie","Un beau résumé","Insert Long Text here",userWelcomattic,Politique,Justice,"Place de la Mairie, 35000 Rennes, France",48.1113828,-1.6792624,Beaulieu,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,"En cours"
export_contribution_type_proposal,proposal4,"2017-02-01 00:04:19","""1-4""","Plantation de tulipes dans les jardinière du parking de l'église avec un titre très long pour tester la césure",,"Insert Long Text here",user7,,Justice,"45 Rue de Brest, 35000 Rennes, France",48.1133495,-1.6984153,"Nord Saint-Martin",,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/plantation-de-tulipes-dans-les-jardiniere-du-parking-de-leglise-avec-un-titre-tres-long-pour-tester-la-cesure?_locale=fr-FR,
export_contribution_type_proposal,proposal5,"2017-02-01 00:05:00","""1-5""","Proposition à la corbeille (visible)",,"Insert Long Text here",user7,,"Thème vide",,,,"Maurepas Patton",,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/proposition-a-la-corbeille-visible?_locale=fr-FR,Rejeté
export_contribution_type_proposal,proposal6,"2017-02-01 00:06:00","""1-6""","Proposition à la corbeille (invisible)",,"Insert Long Text here",userAdmin,,Justice,,,,"Maurepas Patton",,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/proposition-a-la-corbeille-invisible?_locale=fr-FR,"En cours"
export_contribution_type_proposal,proposal10,"2017-02-01 00:07:00","""1-7""","Proposition pas encore votable",,TODO,userAdmin,,Justice,,,,"Maurepas Patton",,,,,,100,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/proposition-pas-encore-votable?_locale=fr-FR,"En cours"
export_contribution_type_proposal,proposal11,"2017-02-01 00:08:00","""1-8""","Proposition plus votable",,TODO,userAdmin,,Justice,,,,"Maurepas Patton",,,,,,100,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/proposition-plus-votable?_locale=fr-FR,"En cours"
export_contribution_type_proposal,proposal19,,"""1-9""","Proposition brouillon 1",,TODO,userSpyl,,Justice,,,,"Maurepas Patton",,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/proposition-brouillon-1?_locale=fr-FR,
export_contribution_type_proposal,proposal20,,"""1-10""","Proposition brouillon 2",,TODO,user1,,Justice,,,,"Maurepas Patton",,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/proposition-brouillon-2?_locale=fr-FR,
export_contribution_type_proposal,proposal21,,"""1-11""","Proposition brouillon 3",,TODO,userAdmin,,Justice,,,,"Maurepas Patton",,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/proposition-brouillon-3?_locale=fr-FR,
export_contribution_type_proposal,proposal108,"2017-02-01 00:03:00","""1-12""","Renovation of the gymnasium",,"We will do a grat gymnasium, i swear !",user522,Aménagement,Transport,,,,"Nord Saint-Martin",,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/renovation-of-the-gymnasium?_locale=fr-FR,Approuvé
