export_contribution_type,export_proposal_id,export_proposal_published_at,export_proposal_reference,export_proposal_title,export_proposal_summary,export_proposal_description,export_proposal_author_id,export_proposal_votes_total_count,export_proposal_votes_digital_count,export_proposal_votes_paper_count,export_proposal_votes_total_points_count,export_proposal_votes_digital_points_count,export_proposal_votes_paper_points_count,export_proposal_category_name,export_proposal_theme_title,export_proposal_formatted_address,export_proposal_address_lat,export_proposal_address_lng,export_proposal_district_name,export_proposal_estimation,export_proposal_illustration,export_proposal_link,export_proposal_status_name,export_proposal_votes_id,export_proposal_votes_ranking
export_contribution_type_proposal,proposal31,"2017-02-01 00:31:00","""1664-42""","Minus et Cortex",,TODO,user5,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/qui-doit-conquerir-le-monde-visible-par-les-admins-seulement/collect/collecte-des-propositions-pour-conquerir-le-monde/proposals/minus-et-cortex?_locale=fr-FR,,,
export_contribution_type_proposal_comment,proposal31,"2017-02-01 00:31:00","""1664-42""","Minus et Cortex",,TODO,user5,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/qui-doit-conquerir-le-monde-visible-par-les-admins-seulement/collect/collecte-des-propositions-pour-conquerir-le-monde/proposals/minus-et-cortex?_locale=fr-FR,,,
export_contribution_type_proposal_comment,proposal31,"2017-02-01 00:31:00","""1664-42""","Minus et Cortex",,TODO,user5,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/qui-doit-conquerir-le-monde-visible-par-les-admins-seulement/collect/collecte-des-propositions-pour-conquerir-le-monde/proposals/minus-et-cortex?_locale=fr-FR,,,
export_contribution_type_proposal_comment,proposal31,"2017-02-01 00:31:00","""1664-42""","Minus et Cortex",,TODO,user5,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/qui-doit-conquerir-le-monde-visible-par-les-admins-seulement/collect/collecte-des-propositions-pour-conquerir-le-monde/proposals/minus-et-cortex?_locale=fr-FR,,,
export_contribution_type_proposal_comment,proposal31,"2017-02-01 00:31:00","""1664-42""","Minus et Cortex",,TODO,user5,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/qui-doit-conquerir-le-monde-visible-par-les-admins-seulement/collect/collecte-des-propositions-pour-conquerir-le-monde/proposals/minus-et-cortex?_locale=fr-FR,,,
export_contribution_type_proposal_news_comment_vote,proposal31,"2017-02-01 00:31:00","""1664-42""","Minus et Cortex",,TODO,user5,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/qui-doit-conquerir-le-monde-visible-par-les-admins-seulement/collect/collecte-des-propositions-pour-conquerir-le-monde/proposals/minus-et-cortex?_locale=fr-FR,,,
export_contribution_type_proposal_news_comment_vote,proposal31,"2017-02-01 00:31:00","""1664-42""","Minus et Cortex",,TODO,user5,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/qui-doit-conquerir-le-monde-visible-par-les-admins-seulement/collect/collecte-des-propositions-pour-conquerir-le-monde/proposals/minus-et-cortex?_locale=fr-FR,,,
export_contribution_type_proposal_news_comment_vote,proposal31,"2017-02-01 00:31:00","""1664-42""","Minus et Cortex",,TODO,user5,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/qui-doit-conquerir-le-monde-visible-par-les-admins-seulement/collect/collecte-des-propositions-pour-conquerir-le-monde/proposals/minus-et-cortex?_locale=fr-FR,,,
export_contribution_type_proposal,proposal33,"2017-02-01 00:33:00","""1664-43""",Batman,,TODO,userAdmin,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/qui-doit-conquerir-le-monde-visible-par-les-admins-seulement/collect/collecte-des-propositions-pour-conquerir-le-monde/proposals/batman?_locale=fr-FR,,,
export_contribution_type_proposal,proposal32,"2017-02-01 00:32:00","""1664-44""","Les chats",,TODO,user2,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/qui-doit-conquerir-le-monde-visible-par-les-admins-seulement/collect/collecte-des-propositions-pour-conquerir-le-monde/proposals/les-chats?_locale=fr-FR,,,
export_contribution_type_proposal_comment,proposal32,"2017-02-01 00:32:00","""1664-44""","Les chats",,TODO,user2,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/qui-doit-conquerir-le-monde-visible-par-les-admins-seulement/collect/collecte-des-propositions-pour-conquerir-le-monde/proposals/les-chats?_locale=fr-FR,,,
export_contribution_type_proposal_comment,proposal32,"2017-02-01 00:32:00","""1664-44""","Les chats",,TODO,user2,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/qui-doit-conquerir-le-monde-visible-par-les-admins-seulement/collect/collecte-des-propositions-pour-conquerir-le-monde/proposals/les-chats?_locale=fr-FR,,,
