export_contribution_type,export_proposal_id,export_proposal_published_at,export_proposal_reference,export_proposal_title,export_proposal_summary,export_proposal_description,export_proposal_author_id,export_proposal_votes_total_count,export_proposal_votes_digital_count,export_proposal_votes_paper_count,export_proposal_votes_total_points_count,export_proposal_votes_digital_points_count,export_proposal_votes_paper_points_count,export_proposal_category_name,export_proposal_theme_title,export_proposal_formatted_address,export_proposal_address_lat,export_proposal_address_lng,export_proposal_district_name,export_proposal_estimation,export_proposal_illustration,export_proposal_link,export_proposal_status_name,export_proposal_votes_id,export_proposal_votes_ranking
export_contribution_type_proposal,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,,
export_contribution_type_proposal_news,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,,
export_contribution_type_proposal_news,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,,
export_contribution_type_proposal_news_comment,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,,
export_contribution_type_proposal_news_comment,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,,
export_contribution_type_proposal_news_comment,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,,
export_contribution_type_proposal_news_comment,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,,
export_contribution_type_proposal_news_comment,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,,
export_contribution_type_proposal_news_comment_reporting,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,,
export_contribution_type_proposal_news_comment_reporting,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,,
export_contribution_type_proposal_news_comment_reporting,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,,
export_contribution_type_proposal_news_comment_reporting,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,,
export_contribution_type_proposal_news_comment_reporting,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,,
export_contribution_type_proposal_news_comment_vote,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,,
export_contribution_type_proposal_news_comment_vote,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,,
export_contribution_type_proposal_news_comment_vote,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,,
export_contribution_type_proposal_news_comment_vote,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,,
export_contribution_type_proposal_news_comment_vote,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,,
export_contribution_type_proposal,cafeLouise,"2020-11-09 10:30:00","""21-6""","Café Louise",,TODO,user5,0,0,0,0,0,0,,,"155 Boulevard Saint-Germain, 75006 Paris, France",48.8538407,2.3321014,"Paris - 6ième arrondissement",,,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/cafe-louise?_locale=fr-FR,,,
