export_contribution_type,export_proposal_id,export_proposal_published_at,export_proposal_reference,export_proposal_title,export_proposal_summary,export_proposal_description,export_proposal_author_id,export_proposal_category_name,export_proposal_theme_title,export_proposal_formatted_address,export_proposal_address_lat,export_proposal_address_lng,export_proposal_district_name,export_proposal_estimation,export_proposal_illustration,export_proposal_link,export_proposal_status_name
export_contribution_type_proposal,proposal109,"2020-03-17 00:03:00","""19-1""","Jurer allégeance à Nurgle",,"Je vous propose de me contacter pour rejoindre la secte des adorateurs de Grand Père Nurgle",userAdmin,"Auto diagnostique",,,,,,,,https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/jurer-allegeance-a-nurgle?_locale=fr-FR,
export_contribution_type_proposal,assignedProposals120,"2020-01-01 00:00:10","""19-9120""","Proposal assigned 120",,"Proposition avec décision/analyse/avis",user160,"On veut des masques",,,,,Beauregard,,,https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-120?_locale=fr-FR,
export_contribution_type_proposal,assignedProposals121,"2020-01-01 00:00:10","""19-9121""","Proposal assigned 121",,"Proposition avec décision/analyse/avis",user160,"On veut des masques",,,,,Beauregard,,,https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-121?_locale=fr-FR,
export_contribution_type_proposal,assignedProposals122,"2020-01-01 00:00:10","""19-9122""","Proposal assigned 122",,"Proposition avec décision/analyse/avis",user160,"On veut des masques",,,,,Beauregard,,,https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-122?_locale=fr-FR,
export_contribution_type_proposal,assignedProposals123,"2020-01-01 00:00:10","""19-9123""","Proposal assigned 123",,"Proposition avec décision/analyse/avis",user160,"On veut des masques",,,,,Beauregard,,,https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-123?_locale=fr-FR,
export_contribution_type_proposal,assignedProposals124,"2020-01-01 00:00:10","""19-9124""","Proposal assigned 124",,"Proposition avec décision/analyse/avis",user160,"On veut des masques",,,,,Beauregard,,,https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-124?_locale=fr-FR,
export_contribution_type_proposal,assignedProposals125,"2020-01-01 00:00:10","""19-9125""","Proposal assigned 125",,"Proposition avec décision/analyse/avis",user160,"On veut des masques",,,,,Beauregard,,,https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-125?_locale=fr-FR,
export_contribution_type_proposal,assignedProposals126,"2020-01-01 00:00:10","""19-9126""","Proposal assigned 126",,"Proposition avec décision/analyse/avis",user160,"Théories du complot au cachot",,,,,"Nord Saint-Martin",,,https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-126?_locale=fr-FR,
export_contribution_type_proposal,assignedProposals127,"2020-01-01 00:00:10","""19-9127""","Proposal assigned 127",,"Proposition avec décision/analyse/avis",user160,"Théories du complot au cachot",,,,,"Nord Saint-Martin",,,https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-127?_locale=fr-FR,
export_contribution_type_proposal,assignedProposals128,"2020-01-01 00:00:10","""19-9128""","Proposal assigned 128",,"Proposition avec décision/analyse/avis",user160,"Théories du complot au cachot",,,,,"Nord Saint-Martin",,,https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-128?_locale=fr-FR,
export_contribution_type_proposal,assignedProposals129,"2020-01-01 00:00:10","""19-9129""","Proposal assigned 129",,"Proposition avec décision/analyse/avis",user160,"Théories du complot au cachot",,,,,"Nord Saint-Martin",,,https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-129?_locale=fr-FR,
