export_proposal_id,export_proposal_reference,export_proposal_title,export_proposal_link,export_proposal_votes_id,export_proposal_votes_ranking,export_proposal_votes_published_at,export_proposal_votes_anonymous,export_proposal_votes_author_id
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2000,,"2017-02-01 00:01:00",Non,user1
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2001,,"2017-02-01 00:02:00",Non,user2
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2002,,"2017-02-01 00:03:00",Non,user3
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2003,,"2017-02-01 00:04:00",Non,userAdmin
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2004,,"2017-02-01 00:05:00",Non,user5
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2005,,"2017-02-01 00:06:00",Non,user6
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2006,,"2017-02-01 00:07:00",Non,user7
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2007,,"2017-02-01 00:08:00",Non,user8
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2008,,"2017-02-01 00:09:00",Non,user9
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2009,,"2017-02-01 00:10:00",Non,user10
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2010,,"2017-02-01 00:11:00",Non,user11
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2011,,"2017-02-01 00:12:00",Non,user12
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2012,,"2017-02-01 00:13:00",Non,user13
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2013,,"2017-02-01 00:14:00",Non,user14
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2014,,"2017-02-01 00:15:00",Non,user15
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2015,,"2017-02-01 00:16:00",Non,user16
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2016,,"2017-02-01 00:17:00",Non,user17
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2017,,"2017-02-01 00:18:00",Non,user18
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2018,,"2017-02-01 00:19:00",Non,user19
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2019,,"2017-02-01 00:20:00",Non,user20
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2020,,"2017-02-01 00:21:00",Non,user21
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2021,,"2017-02-01 00:22:00",Non,user22
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2022,,"2017-02-01 00:23:00",Non,user23
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2023,,"2017-02-01 00:24:00",Non,user24
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2024,,"2017-02-01 00:25:00",Non,user25
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2025,,"2017-02-01 00:26:00",Non,user26
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2026,,"2017-02-01 00:27:00",Non,user27
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2027,,"2017-02-01 00:28:00",Non,user28
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2028,,"2017-02-01 00:29:00",Non,user29
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2029,,"2017-02-01 00:30:00",Non,user30
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2030,,"2017-02-01 00:31:00",Non,user31
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2031,,"2017-02-01 00:32:00",Non,user32
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2032,,"2017-02-01 00:33:00",Non,user33
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2033,,"2017-02-01 00:34:00",Non,user34
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2034,,"2017-02-01 00:35:00",Non,user35
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2035,,"2017-02-01 00:36:00",Non,user36
