export_contribution_type,export_contribution_id,export_contribution_author_id,export_contribution_author_type_name,export_contribution_consultation_title,export_contribution_section_title,export_contribution_title,export_contribution_body_text,export_contribution_url,export_contribution_votes_count,export_contribution_votes_count_ok,export_contribution_votes_count_mitige,export_contribution_votes_count_nok,export_contribution_arguments_count,export_contribution_arguments_count_for,export_contribution_arguments_count_against,export_contribution_votes_id,export_contribution_votes_related_id,export_contribution_votes_author_id,export_contribution_votes_value,export_contribution_arguments_id,export_contribution_arguments_related_id,export_contribution_arguments_author_id,export_contribution_arguments_type,export_contribution_arguments_body,export_contribution_arguments_url,export_contribution_versions_id,export_contribution_versions_author_id,export_contribution_versions_title,export_contribution_versions_explanation,export_contribution_versions_body_text,export_contribution_versions_votes_count,export_contribution_versions_votes_count_ok,export_contribution_versions_votes_count_mitige,export_contribution_versions_votes_count_nok
export_contribution_type_opinion,opinion101,userAdmin,Citoyen,"Projet sans fin","Première section","Opinion endless","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",https://capco.dev/consultations/project-pour-la-creation-de-la-capcobeer-visible-par-admin-seulement/consultation/etape-participation-continue/opinions/premiere-section-encore-un-sous-titre/opinion-endless,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
export_contribution_type_argument,,,,,,,,,,,,,,,,,,,,argument267,opinion101,userAdmin,0,"Argument sur une opinion dans un project privé",https://capco.dev/consultations/project-pour-la-creation-de-la-capcobeer-visible-par-admin-seulement/consultation/etape-participation-continue/opinions/premiere-section-encore-un-sous-titre/opinion-endless#arg-argument267,,,,,,,,,
export_contribution_type_opinion_version,,,,,,,,,,,,,,,,,,,,,,,,,,version16,userAdmin,"Modification 16","<p>Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.</p>","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",0,0,0,0
export_contribution_type_opinion_version,,,,,,,,,,,,,,,,,,,,,,,,,,version19,userAdmin,"Modification 19","<p>Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.</p>","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",0,0,0,0
export_contribution_type_opinion_version,,,,,,,,,,,,,,,,,,,,,,,,,,version20,userAdmin,"Modification 20","<p>Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.</p>","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",0,0,0,0
export_contribution_type_opinion_version,,,,,,,,,,,,,,,,,,,,,,,,,,version21,userAdmin,"Modification 21","<p>Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.</p>","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",0,0,0,0
export_contribution_type_opinion_version,,,,,,,,,,,,,,,,,,,,,,,,,,version22,userAdmin,"Modification 22","<p>Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.</p>","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",0,0,0,0
export_contribution_type_opinion_version,,,,,,,,,,,,,,,,,,,,,,,,,,version23,userAdmin,"Modification 23","<p>Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.</p>","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",0,0,0,0
export_contribution_type_opinion_version,,,,,,,,,,,,,,,,,,,,,,,,,,version24,userAdmin,"Modification 24","<p>Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.</p>","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",0,0,0,0
export_contribution_type_opinion_version,,,,,,,,,,,,,,,,,,,,,,,,,,version25,userAdmin,"Modification 25","<p>Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.</p>","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",0,0,0,0
export_contribution_type_opinion_version,,,,,,,,,,,,,,,,,,,,,,,,,,version26,userAdmin,"Modification 26","<p>Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.</p>","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",0,0,0,0
