export_contribution_type,export_contribution_id,export_contribution_author_id,export_contribution_author_type_name,export_contribution_consultation_title,export_contribution_section_title,export_contribution_title,export_contribution_body_text,export_contributions_created_at,export_contributions_updated_at,export_contribution_url,export_contribution_published,export_contribution_trashed,export_contribution_trashed_status,export_contribution_trashed_at,export_contribution_trashed_reason,export_contribution_votes_count,export_contribution_votes_count_ok,export_contribution_votes_count_mitige,export_contribution_votes_count_nok,export_contribution_arguments_count,export_contribution_arguments_count_for,export_contribution_arguments_count_against,export_contribution_sources_count,export_contribution_versions_count,export_contribution_context_element_title,export_contribution_context_element_body_text,export_contribution_votes_id,export_contribution_votes_related_id,export_contribution_votes_author_id,export_contribution_votes_value,export_contribution_votes_created_at,export_contribution_arguments_related_id,export_contribution_arguments_related_kind,export_contribution_arguments_id,export_contribution_arguments_author_id,export_contribution_arguments_type,export_contribution_arguments_body,export_contribution_arguments_created_at,export_contribution_arguments_updated_at,export_contribution_arguments_url,export_contribution_arguments_published,export_contribution_arguments_trashed,export_contribution_arguments_trashed_status,export_contribution_arguments_trashed_at,export_contribution_arguments_trashed_reason,export_contribution_arguments_votes_count,export_contribution_reportings_related_id,export_contribution_reportings_related_kind,export_contribution_reportings_id,export_contribution_reportings_author_id,export_contribution_reportings_type,export_contribution_reportings_body,export_contribution_reportings_created_at,export_contribution_sources_id,export_contribution_sources_related_id,export_contribution_sources_related_kind,export_contribution_sources_author_id,export_contribution_sources_trashed,export_contribution_sources_trashed_status,export_contribution_sources_trashed_at,export_contribution_sources_trashed_reason,export_contribution_sources_body,export_contribution_sources_created_at,export_contribution_sources_updated_at,export_contribution_sources_published,export_contribution_sources_votes_count,export_contribution_versions_id,export_contribution_versions_author_id,export_contribution_versions_title,export_contribution_versions_explanation,export_contribution_versions_body_text,export_contribution_versions_created_at,export_contribution_versions_updated_at,export_contribution_versions_votes_count,export_contribution_versions_votes_count_ok,export_contribution_versions_votes_count_mitige,export_contribution_versions_votes_count_nok
export_contribution_type_opinion,opinion67,user5,Citoyen,Simple,"Les causes","Opinion 67 non publié à temps","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","2018-03-01 16:07:00",,https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/collecte-des-avis-pour-une-meilleur-strategie/opinions/les-causes/opinion-67-non-publie-a-temps,Non,Non,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_opinion,opinion66,user5,Citoyen,Simple,"Les causes","Opinion 66 non publié à temps","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","2018-03-01 16:06:00",,https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/collecte-des-avis-pour-une-meilleur-strategie/opinions/les-causes/opinion-66-non-publie-a-temps,Non,Non,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_opinion,opinion65,user5,Citoyen,Simple,"Les causes","Opinion 65 non publié à temps","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","2018-03-01 16:05:00",,https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/collecte-des-avis-pour-une-meilleur-strategie/opinions/les-causes/opinion-65-non-publie-a-temps,Non,Non,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_opinion,opinion64,user5,Citoyen,Simple,"Les causes","Opinion 64 non publié à temps","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","2018-03-01 16:04:00",,https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/collecte-des-avis-pour-une-meilleur-strategie/opinions/les-causes/opinion-64-non-publie-a-temps,Non,Non,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_opinion,opinion53,user2,Citoyen,Simple,"Les causes","Opinion 53","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","2018-03-01 03:00:00",,https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/collecte-des-avis-pour-une-meilleur-strategie/opinions/les-causes/opinion-53,Oui,Non,,,,0,0,0,0,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_argument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opinion53,opinion,argument150,user5,argument.show.type.against,"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>","2015-05-31 00:00:00","2017-01-01 00:00:00",https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/collecte-des-avis-pour-une-meilleur-strategie/opinions/les-causes/opinion-53#arg-argument150,Oui,Oui,visible,"2017-03-01 00:00:00",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_argument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opinion53,opinion,argument175,user3,argument.show.type.for,"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>","2015-06-25 00:00:00","2017-01-01 00:00:00",https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/collecte-des-avis-pour-une-meilleur-strategie/opinions/les-causes/opinion-53#arg-argument175,Oui,Oui,invisible,"2017-03-01 00:00:00",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_argument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opinion53,opinion,argument200,user2,argument.show.type.against,"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>","2015-07-20 00:00:00","2017-01-01 00:00:00",https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/collecte-des-avis-pour-une-meilleur-strategie/opinions/les-causes/opinion-53#arg-argument200,Oui,Non,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_opinion,opinion52,userAdmin,Citoyen,Simple,"Le problème constaté","Opinion 52","Contenu de ma super opinion !","2018-03-01 02:00:01","2018-03-01 02:00:01",https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/collecte-des-avis-pour-une-meilleur-strategie/opinions/le-probleme-constate/opinion-52,Oui,Non,,,,0,0,0,0,4,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_argument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opinion52,opinion,argument149,user5,argument.show.type.against,"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>","2015-05-30 00:00:00","2017-01-01 00:00:00",https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/collecte-des-avis-pour-une-meilleur-strategie/opinions/le-probleme-constate/opinion-52#arg-argument149,Oui,Oui,visible,"2017-03-01 00:00:00",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
