export_contribution_type,export_contribution_id,export_contribution_author_id,export_contribution_author_type_name,export_contribution_consultation_title,export_contribution_section_title,export_contribution_title,export_contribution_body_text,export_contributions_created_at,export_contributions_updated_at,export_contribution_url,export_contribution_published,export_contribution_trashed,export_contribution_trashed_status,export_contribution_trashed_at,export_contribution_trashed_reason,export_contribution_votes_count,export_contribution_votes_count_ok,export_contribution_votes_count_mitige,export_contribution_votes_count_nok,export_contribution_arguments_count,export_contribution_arguments_count_for,export_contribution_arguments_count_against,export_contribution_sources_count,export_contribution_versions_count,export_contribution_context_element_title,export_contribution_context_element_body_text,export_contribution_votes_id,export_contribution_votes_related_id,export_contribution_votes_author_id,export_contribution_votes_value,export_contribution_votes_created_at,export_contribution_arguments_related_id,export_contribution_arguments_related_kind,export_contribution_arguments_id,export_contribution_arguments_author_id,export_contribution_arguments_type,export_contribution_arguments_body,export_contribution_arguments_created_at,export_contribution_arguments_updated_at,export_contribution_arguments_url,export_contribution_arguments_published,export_contribution_arguments_trashed,export_contribution_arguments_trashed_status,export_contribution_arguments_trashed_at,export_contribution_arguments_trashed_reason,export_contribution_arguments_votes_count,export_contribution_reportings_related_id,export_contribution_reportings_related_kind,export_contribution_reportings_id,export_contribution_reportings_author_id,export_contribution_reportings_type,export_contribution_reportings_body,export_contribution_reportings_created_at,export_contribution_sources_id,export_contribution_sources_related_id,export_contribution_sources_related_kind,export_contribution_sources_author_id,export_contribution_sources_trashed,export_contribution_sources_trashed_status,export_contribution_sources_trashed_at,export_contribution_sources_trashed_reason,export_contribution_sources_body,export_contribution_sources_created_at,export_contribution_sources_updated_at,export_contribution_sources_published,export_contribution_sources_votes_count,export_contribution_versions_id,export_contribution_versions_author_id,export_contribution_versions_title,export_contribution_versions_explanation,export_contribution_versions_body_text,export_contribution_versions_created_at,export_contribution_versions_updated_at,export_contribution_versions_votes_count,export_contribution_versions_votes_count_ok,export_contribution_versions_votes_count_mitige,export_contribution_versions_votes_count_nok
export_contribution_type_opinion,opinion100,user3,Citoyen,"Deuxième consultation","Deuxième section dans la deuxième consultation","Opinion 100","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","2018-04-01 01:40:00",,https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-deuxieme-consultation/opinion-100,Oui,Non,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_opinion,opinion99,user3,Citoyen,"Deuxième consultation","Deuxième section dans la deuxième consultation","Opinion 99","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","2018-04-01 01:39:00",,https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-deuxieme-consultation/opinion-99,Oui,Non,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_opinion,opinion98,user3,Citoyen,"Deuxième consultation","Deuxième section dans la deuxième consultation","Opinion 98","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","2018-04-01 01:38:00",,https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-deuxieme-consultation/opinion-98,Oui,Non,,,,0,0,0,0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_argument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opinion98,opinion,argument262,user1,argument.show.type.against,"Bonjour je suis un argument sur une opinion dans la deuxième consultation d'une étape de multi consultation dans la première section","2018-02-18 03:00:00","2020-02-18 03:00:00",https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-deuxieme-consultation/opinion-98#arg-argument262,Oui,Non,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_argument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opinion98,opinion,argument263,user1,argument.show.type.against,"Bonjour je suis un argument sur une opinion dans la deuxième consultation d'une étape de multi consultation dans la première section","2018-02-19 03:00:00","2020-02-19 03:00:00",https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-deuxieme-consultation/opinion-98#arg-argument263,Oui,Non,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_argument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opinion98,opinion,argument264,user1,argument.show.type.against,"Bonjour je suis un argument sur une opinion dans la deuxième consultation d'une étape de multi consultation dans la première section","2018-02-20 03:00:00","2020-02-20 03:00:00",https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-deuxieme-consultation/opinion-98#arg-argument264,Oui,Non,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_argument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opinion98,opinion,argument265,user1,argument.show.type.against,"Bonjour je suis un argument sur une opinion dans la deuxième consultation d'une étape de multi consultation dans la première section","2018-02-21 03:00:00","2020-02-21 03:00:00",https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-deuxieme-consultation/opinion-98#arg-argument265,Oui,Non,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_argument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opinion98,opinion,argument266,user1,argument.show.type.against,"Bonjour je suis un argument sur une opinion dans la deuxième consultation d'une étape de multi consultation dans la première section","2018-02-22 03:00:00","2020-02-22 03:00:00",https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-deuxieme-consultation/opinion-98#arg-argument266,Oui,Non,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_opinion,opinion97,user3,Citoyen,"Deuxième consultation","Deuxième section dans la deuxième consultation","Opinion 97","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","2018-04-01 01:37:00",,https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-deuxieme-consultation/opinion-97,Oui,Non,,,,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_opinion_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source51,opinion97,opinion,userAdmin,,,,,"(pour de vrai, regardez le)","2018-03-01 06:00:00","2018-03-01 06:00:00",Oui,0,,,,,,,,,,,
export_contribution_type_opinion,opinion96,user3,Citoyen,"Deuxième consultation","Deuxième section dans la deuxième consultation","Opinion 96","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","2018-04-01 01:36:00",,https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-deuxieme-consultation/opinion-96,Oui,Non,,,,0,0,0,0,0,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_opinion_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source46,opinion96,opinion,userAdmin,,,,,"(pour de vrai, regardez le)","2016-04-16 05:00:00","2016-04-16 05:00:00",Oui,0,,,,,,,,,,,
export_contribution_type_opinion_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source47,opinion96,opinion,userAdmin,,,,,"(pour de vrai, regardez le)","2016-04-17 05:00:00","2016-04-17 05:00:00",Oui,0,,,,,,,,,,,
export_contribution_type_opinion_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source48,opinion96,opinion,userAdmin,,,,,"(pour de vrai, regardez le)","2016-04-18 05:00:00","2016-04-18 05:00:00",Oui,0,,,,,,,,,,,
export_contribution_type_opinion_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source49,opinion96,opinion,userAdmin,,,,,"(pour de vrai, regardez le)","2016-04-19 05:00:00","2016-04-19 05:00:00",Oui,0,,,,,,,,,,,
export_contribution_type_opinion_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source50,opinion96,opinion,userAdmin,,,,,"(pour de vrai, regardez le)","2016-04-20 05:00:00","2016-04-20 05:00:00",Oui,0,,,,,,,,,,,
export_contribution_type_opinion,opinion95,user5,Citoyen,"Première consultation","Deuxième section dans la première consultation","Opinion 95","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","2018-04-01 01:35:00",,https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-premiere-consultation/opinion-95,Oui,Non,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_opinion,opinion94,user5,Citoyen,"Première consultation","Deuxième section dans la première consultation","Opinion 94","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","2018-04-01 01:34:00",,https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-premiere-consultation/opinion-94,Oui,Non,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_opinion,opinion93,user5,Citoyen,"Première consultation","Deuxième section dans la première consultation","Opinion 93","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","2018-04-01 01:33:00",,https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-premiere-consultation/opinion-93,Oui,Non,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_opinion,opinion92,user5,Citoyen,"Première consultation","Deuxième section dans la première consultation","Opinion 92","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","2018-04-01 01:32:00",,https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-premiere-consultation/opinion-92,Oui,Non,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_opinion,opinion91,user5,Citoyen,"Première consultation","Deuxième section dans la première consultation","Opinion 91","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","2018-04-01 01:31:00",,https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-premiere-consultation/opinion-91,Oui,Non,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_opinion,opinion90,user5,Citoyen,"Première consultation","Deuxième section dans la première consultation","Opinion 90","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","2018-04-01 01:30:00",,https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-premiere-consultation/opinion-90,Oui,Non,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_opinion,opinion89,user5,Citoyen,"Première consultation","Deuxième section dans la première consultation","Opinion 89","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","2018-04-01 01:29:00",,https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-premiere-consultation/opinion-89,Oui,Non,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_opinion,opinion88,user5,Citoyen,"Première consultation","Deuxième section dans la première consultation","Opinion 88","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","2018-04-01 01:28:00",,https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-premiere-consultation/opinion-88,Oui,Non,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_opinion,opinion87,user5,Citoyen,"Première consultation","Deuxième section dans la première consultation","Opinion 87","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","2018-04-01 01:27:00",,https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-premiere-consultation/opinion-87,Oui,Non,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_opinion,opinion86,user5,Citoyen,"Première consultation","Deuxième section dans la première consultation","Opinion 86","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","2018-04-01 01:26:00",,https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-premiere-consultation/opinion-86,Oui,Non,,,,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_argument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opinion86,opinion,argument259,user1,argument.show.type.against,"Bonjour je suis un argument sur une opinion dans la première consultation d'une étape de multi consultation dans la deuxième section","2018-02-15 02:00:00","2020-02-15 02:00:00",https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-premiere-consultation/opinion-86#arg-argument259,Oui,Non,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_argument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opinion86,opinion,argument260,user1,argument.show.type.against,"Bonjour je suis un argument sur une opinion dans la première consultation d'une étape de multi consultation dans la deuxième section","2018-02-16 02:00:00","2020-02-16 02:00:00",https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-premiere-consultation/opinion-86#arg-argument260,Oui,Non,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_argument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opinion86,opinion,argument261,user1,argument.show.type.against,"Bonjour je suis un argument sur une opinion dans la première consultation d'une étape de multi consultation dans la deuxième section","2018-02-17 02:00:00","2020-02-17 02:00:00",https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-premiere-consultation/opinion-86#arg-argument261,Oui,Non,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
