export_contribution_type,export_contribution_id,export_contribution_author_id,export_contribution_author_type_name,export_contribution_consultation_title,export_contribution_section_title,export_contribution_title,export_contribution_body_text,export_contribution_url,export_contribution_votes_count,export_contribution_votes_count_ok,export_contribution_votes_count_mitige,export_contribution_votes_count_nok,export_contribution_arguments_count,export_contribution_arguments_count_for,export_contribution_arguments_count_against,export_contribution_votes_id,export_contribution_votes_related_id,export_contribution_votes_author_id,export_contribution_votes_value,export_contribution_arguments_id,export_contribution_arguments_related_id,export_contribution_arguments_author_id,export_contribution_arguments_type,export_contribution_arguments_body,export_contribution_arguments_url,export_contribution_versions_id,export_contribution_versions_author_id,export_contribution_versions_title,export_contribution_versions_explanation,export_contribution_versions_body_text,export_contribution_versions_votes_count,export_contribution_versions_votes_count_ok,export_contribution_versions_votes_count_mitige,export_contribution_versions_votes_count_nok
export_contribution_type_opinion,opinion100,user3,Citoyen,"Deuxième consultation","Deuxième section dans la deuxième consultation","Opinion 100","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-deuxieme-consultation/opinion-100,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
export_contribution_type_opinion,opinion99,user3,Citoyen,"Deuxième consultation","Deuxième section dans la deuxième consultation","Opinion 99","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-deuxieme-consultation/opinion-99,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
export_contribution_type_opinion,opinion98,user3,Citoyen,"Deuxième consultation","Deuxième section dans la deuxième consultation","Opinion 98","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-deuxieme-consultation/opinion-98,0,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,
export_contribution_type_argument,,,,,,,,,,,,,,,,,,,,argument262,opinion98,user1,0,"Bonjour je suis un argument sur une opinion dans la deuxième consultation d'une étape de multi consultation dans la première section",https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-deuxieme-consultation/opinion-98#arg-argument262,,,,,,,,,
export_contribution_type_argument,,,,,,,,,,,,,,,,,,,,argument263,opinion98,user1,0,"Bonjour je suis un argument sur une opinion dans la deuxième consultation d'une étape de multi consultation dans la première section",https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-deuxieme-consultation/opinion-98#arg-argument263,,,,,,,,,
export_contribution_type_argument,,,,,,,,,,,,,,,,,,,,argument264,opinion98,user1,0,"Bonjour je suis un argument sur une opinion dans la deuxième consultation d'une étape de multi consultation dans la première section",https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-deuxieme-consultation/opinion-98#arg-argument264,,,,,,,,,
export_contribution_type_argument,,,,,,,,,,,,,,,,,,,,argument265,opinion98,user1,0,"Bonjour je suis un argument sur une opinion dans la deuxième consultation d'une étape de multi consultation dans la première section",https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-deuxieme-consultation/opinion-98#arg-argument265,,,,,,,,,
export_contribution_type_argument,,,,,,,,,,,,,,,,,,,,argument266,opinion98,user1,0,"Bonjour je suis un argument sur une opinion dans la deuxième consultation d'une étape de multi consultation dans la première section",https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-deuxieme-consultation/opinion-98#arg-argument266,,,,,,,,,
export_contribution_type_opinion,opinion97,user3,Citoyen,"Deuxième consultation","Deuxième section dans la deuxième consultation","Opinion 97","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/deuxieme-section-dans-la-deuxieme-consultation/opinion-97,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
export_contribution_type_opinion_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
