type,contributions_id,contributions_author_id,contributions_consultation_title,contributions_section_title,contributions_title,contributions_bodyText,contributions_createdAt,contributions_updatedAt,contributions_url,contributions_published,contributions_trashed,contributions_trashedStatus,contributions_trashedAt,contributions_trashedReason,contributions_votesCount,contributions_votesCountOk,contributions_votesCountMitige,contributions_votesCountNok,contributions_argumentsCount,contributions_argumentsCountFor,contributions_argumentsCountAgainst,contributions_sourcesCount,contributions_versionsCount,contributions_context_element_title,contributions_context_element_bodyText,contributions_votes_id,contributions_votes_related_id,contributions_votes_author_id,contributions_votes_value,contributions_votes_createdAt,contributions_arguments_related_id,contributions_arguments_related_kind,contributions_arguments_id,contributions_arguments_author_id,contributions_arguments_type,contributions_arguments_body,contributions_arguments_createdAt,contributions_arguments_updatedAt,contributions_arguments_url,contributions_arguments_published,contributions_arguments_trashed,contributions_arguments_trashedStatus,contributions_arguments_trashedAt,contributions_arguments_trashedReason,contributions_arguments_votesCount,contributions_reportings_related_id,contributions_reportings_related_kind,contributions_reportings_id,contributions_reportings_author_id,contributions_reportings_type,contributions_reportings_body,contributions_reportings_createdAt,contributions_sources_id,contributions_sources_related_id,contributions_sources_related_kind,contributions_sources_author_id,contributions_sources_trashed,contributions_sources_trashedStatus,contributions_sources_trashedAt,contributions_sources_trashedReason,contributions_sources_body,contributions_sources_createdAt,contributions_sources_updatedAt,contributions_sources_published,contributions_sources_votesCount,contribution_versions_id,contribution_versions_title,contribution_versions_bodyText,contribution_versions_createdAt,contribution_versions_updatedAt
opinion,T3BpbmlvbjpvcGluaW9uMzk=,VXNlcjp1c2VyMzk=,Défaut,"Les causes","Opinion 39","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","2018-03-01 00:39:00",,https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-39,1,,,,,0,0,0,0,3,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3BpbmlvbjpvcGluaW9uMzk=,,QXJndW1lbnQ6YXJndW1lbnQxODY=,VXNlcjp1c2VyMg==,AGAINST,"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>","2015-07-06 00:00:00","2017-01-01 00:00:00",https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-39#arg-argument186,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
argument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3BpbmlvbjpvcGluaW9uMzk=,,QXJndW1lbnQ6YXJndW1lbnQxNjE=,VXNlcjp1c2VyMw==,FOR,"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>","2015-06-11 00:00:00","2017-01-01 00:00:00",https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-39#arg-argument161,1,1,INVISIBLE,"2017-03-01 00:00:00",,0,,,,,,,,,,,,,,,,,,,,,,,,,
argument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3BpbmlvbjpvcGluaW9uMzk=,,QXJndW1lbnQ6YXJndW1lbnQxMzY=,VXNlcjp1c2VyNQ==,AGAINST,"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>","2015-05-17 00:00:00","2017-01-01 00:00:00",https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-39#arg-argument136,1,1,VISIBLE,"2017-03-01 00:00:00",,0,,,,,,,,,,,,,,,,,,,,,,,,,
opinion,T3BpbmlvbjpvcGluaW9uMzc=,VXNlcjp1c2VyMzc=,Défaut,"Les causes","Opinion 37","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","2018-03-01 00:37:00",,https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-37,1,,,,,0,0,0,0,3,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3BpbmlvbjpvcGluaW9uMzc=,,QXJndW1lbnQ6YXJndW1lbnQxODQ=,VXNlcjp1c2VyMg==,AGAINST,"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>","2015-07-04 00:00:00","2017-01-01 00:00:00",https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-37#arg-argument184,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
argument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3BpbmlvbjpvcGluaW9uMzc=,,QXJndW1lbnQ6YXJndW1lbnQxNTk=,VXNlcjp1c2VyMw==,FOR,"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>","2015-06-09 00:00:00","2017-01-01 00:00:00",https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-37#arg-argument159,1,1,INVISIBLE,"2017-03-01 00:00:00",,0,,,,,,,,,,,,,,,,,,,,,,,,,
argument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3BpbmlvbjpvcGluaW9uMzc=,,QXJndW1lbnQ6YXJndW1lbnQxMzQ=,VXNlcjp1c2VyNQ==,AGAINST,"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>","2015-05-15 00:00:00","2017-01-01 00:00:00",https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-37#arg-argument134,1,1,VISIBLE,"2017-03-01 00:00:00",,0,,,,,,,,,,,,,,,,,,,,,,,,,
opinion,T3BpbmlvbjpvcGluaW9uMzY=,VXNlcjp1c2VyMzY=,Défaut,"Les causes","Opinion 36","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","2018-03-01 00:36:00",,https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-36,1,,,,,0,0,0,0,3,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3BpbmlvbjpvcGluaW9uMzY=,,QXJndW1lbnQ6YXJndW1lbnQxODM=,VXNlcjp1c2VyMg==,AGAINST,"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>","2015-07-03 00:00:00","2017-01-01 00:00:00",https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-36#arg-argument183,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
