export_vote_published_at,export_vote_type,export_vote_author_id
"2020-01-07 00:00:00",export_vote_type_against,user6
"2020-01-08 00:00:00",export_vote_type_against,user7
"2020-01-09 00:00:00",export_vote_type_against,user8
"2020-01-10 00:00:00",export_vote_type_against,user9
"2020-01-11 00:00:00",export_vote_type_against,user10
"2020-01-12 00:00:00",export_vote_type_against,user11
"2020-01-13 00:00:00",export_vote_type_against,user12
"2020-01-14 00:00:00",export_vote_type_against,user13
"2020-01-15 00:00:00",export_vote_type_against,user14
"2020-01-16 00:00:00",export_vote_type_against,user15
"2020-01-17 00:00:00",export_vote_type_against,user16
"2020-01-18 00:00:00",export_vote_type_against,user17
"2020-01-19 00:00:00",export_vote_type_against,user18
"2020-01-20 00:00:00",export_vote_type_against,user19
"2020-01-21 00:00:00",export_vote_type_against,user20
"2020-01-22 00:00:00",export_vote_type_against,user21
"2020-01-23 00:00:00",export_vote_type_against,user22
"2020-01-24 00:00:00",export_vote_type_against,user23
"2020-01-25 00:00:00",export_vote_type_against,user24
"2020-01-26 00:00:00",export_vote_type_against,user25
"2020-01-27 00:00:00",export_vote_type_against,user26
"2020-01-28 00:00:00",export_vote_type_against,user27
"2020-01-29 00:00:00",export_vote_type_against,user28
"2020-01-30 00:00:00",export_vote_type_against,user29
"2020-01-31 00:00:00",export_vote_type_against,user30
"2020-02-01 00:00:00",export_vote_type_against,user31
"2020-02-02 00:00:00",export_vote_type_against,user32
"2020-02-03 00:00:00",export_vote_type_against,user33
"2020-02-04 00:00:00",export_vote_type_against,user34
"2020-02-05 00:00:00",export_vote_type_against,user35
"2020-02-06 00:00:00",export_vote_type_against,user36
"2020-02-07 00:00:00",export_vote_type_against,user37
"2020-02-08 00:00:00",export_vote_type_against,user38
"2020-02-09 00:00:00",export_vote_type_against,user39
"2020-02-10 00:00:00",export_vote_type_against,user40
"2020-02-11 00:00:00",export_vote_type_against,user41
"2020-02-12 00:00:00",export_vote_type_against,user42
"2020-02-13 00:00:00",export_vote_type_against,user43
"2020-02-14 00:00:00",export_vote_type_against,user44
"2020-02-15 00:00:00",export_vote_type_against,user45
"2020-02-16 00:00:00",export_vote_type_against,user46
"2020-02-17 00:00:00",export_vote_type_against,user47
"2020-02-18 00:00:00",export_vote_type_against,user48
"2020-02-19 00:00:00",export_vote_type_against,user49
"2020-02-20 00:00:00",export_vote_type_against,user50
"2020-02-21 00:00:00",export_vote_type_against,user51
"2020-02-22 00:00:00",export_vote_type_against,user52
"2020-02-23 00:00:00",export_vote_type_against,user53
"2020-02-24 00:00:00",export_vote_type_against,user54
"2020-02-25 00:00:00",export_vote_type_against,user55
"2020-02-26 00:00:00",export_vote_type_against,user56
"2020-02-27 00:00:00",export_vote_type_against,user57
"2020-02-28 00:00:00",export_vote_type_against,user58
"2020-02-29 00:00:00",export_vote_type_against,user59
"2020-03-01 00:00:00",export_vote_type_against,user60
"2020-03-02 00:00:00",export_vote_type_against,user61
"2020-03-03 00:00:00",export_vote_type_against,user62
"2020-03-04 00:00:00",export_vote_type_against,user63
"2020-03-05 00:00:00",export_vote_type_against,user64
"2020-03-06 00:00:00",export_vote_type_against,user65
"2020-03-07 00:00:00",export_vote_type_against,user66
"2020-03-08 00:00:00",export_vote_type_against,user67
"2020-03-09 00:00:00",export_vote_type_against,user68
"2020-03-10 00:00:00",export_vote_type_against,user69
"2020-03-11 00:00:00",export_vote_type_against,user70
"2020-03-12 00:00:00",export_vote_type_against,user71
"2020-03-13 00:00:00",export_vote_type_against,user72
"2020-03-14 00:00:00",export_vote_type_against,user73
"2020-03-15 00:00:00",export_vote_type_against,user74
"2020-03-16 00:00:00",export_vote_type_against,user75
"2020-03-17 00:00:00",export_vote_type_against,user76
"2020-03-18 00:00:00",export_vote_type_against,user77
"2020-03-19 00:00:00",export_vote_type_against,user78
"2020-03-20 00:00:00",export_vote_type_against,user79
"2020-03-21 00:00:00",export_vote_type_against,user80
"2020-03-22 00:00:00",export_vote_type_against,user81
"2020-03-23 00:00:00",export_vote_type_against,user82
"2020-03-24 00:00:00",export_vote_type_against,user83
"2020-03-25 00:00:00",export_vote_type_against,user84
"2020-03-26 00:00:00",export_vote_type_against,user85
