export_vote_published_at,export_vote_type,export_vote_author_id
"2020-01-13 00:00:00",export_vote_type_for,user12
"2020-01-14 00:00:00",export_vote_type_for,user13
"2020-01-15 00:00:00",export_vote_type_for,user14
"2020-01-16 00:00:00",export_vote_type_for,user15
"2020-01-17 00:00:00",export_vote_type_for,user16
"2020-01-18 00:00:00",export_vote_type_for,user17
"2020-01-19 00:00:00",export_vote_type_for,user18
"2020-01-20 00:00:00",export_vote_type_for,user19
"2020-01-21 00:00:00",export_vote_type_for,user20
"2020-01-22 00:00:00",export_vote_type_for,user21
"2020-01-23 00:00:00",export_vote_type_for,user22
