export_contribution_id,export_contribution_published_at,export_contribution_author_id,"Êtes-vous satisfait que la ville de Paris soit candidate à l'organisation des JO de 2024 ?","Pour quel type d'épreuve êtes vous prêt à acheter des places ?","Quel est ton athlète favori ?","Nelson Monfort parle-t-il:","Classez vos choix","Choissez le meilleur logo","Est-ce que Martoni a encore une balle dans son chargeur ?","Nouvelle section 1","Nouvelle section 2","Comment trouvez vous le jeu de weeb Genshin Impact ?","Votre catégorie socio-professionnel"
reply1,"2016-03-01 00:00:00",userWelcomattic,"Trop bien ! On va voir de supers athlètes à Paris !","Athlétisme;Sports collectifs;Guild Wars 2",,,,,,,,,
reply2,"2016-03-02 00:00:00",userAdmin,"Youpi ! J'adore des JO","Natation;Sports collectifs;Civilization 6","Maxime Arrouard","Assez fort (Mon sonotone est mal réglé)",,"Logo 1","Il bluffe",,,very-well,"Sans profession"
reply5,"2016-03-05 00:00:00",userAdmin,,Natation,,,,,,,,,
reply6,"2016-03-06 00:00:00",user515,,,,"Pas assez fort (Mon sonotone est en panne)",,,,,,,"Profession libérale"
reply7,,user_not_confirmed,"Trop cool ! On va voir Tibo qui cours en slip !",,,,,,Oui,,,,
reply9,"2016-03-22 00:00:00",userAdmin,,,,,,,,,,,
replyMajority10,"2016-03-02 00:00:00",user10,,,,,,,,,,very-well,
replyMajority11,"2016-03-02 00:00:00",user11,,,,,,,,,,very-well,
replyMajority12,"2016-03-02 00:00:00",user12,,,,,,,,,,global-well,
replyMajority13,"2016-03-02 00:00:00",user13,,,,,,,,,,global-well,
replyMajority14,"2016-03-02 00:00:00",user14,,,,,,,,,,global-well,
replyMajority15,"2016-03-02 00:00:00",user15,,,,,,,,,,global-well,
replyMajority16,"2016-03-02 00:00:00",user16,,,,,,,,,,global-passable,
replyMajority17,"2016-03-02 00:00:00",user17,,,,,,,,,,global-passable,
replyMajority18,"2016-03-02 00:00:00",user18,,,,,,,,,,global-not-passable,
replyMajority19,"2016-03-02 00:00:00",user19,,,,,,,,,,global-not-passable,
replyMajority20,"2016-03-02 00:00:00",user20,,,,,,,,,,global-not-passable,
replyMajority6,"2016-03-02 00:00:00",user6,,,,,,,,,,very-well,
replyMajority7,"2016-03-02 00:00:00",user7,,,,,,,,,,very-well,
replyMajority8,"2016-03-02 00:00:00",user8,,,,,,,,,,very-well,
replyMajority9,"2016-03-02 00:00:00",user9,,,,,,,,,,very-well,
replyPrivate,"2019-03-20 00:00:00",user5,,,,,,,,,,,
replyUnpublished,,user5,,,,,,,,,,,
replyUnpublishedAndDraft,,user5,,,,,,,,,,,
