url;title;bodyText;address_formatted;createdAt;updatedAt;trashedAt;trashedReason;responses_question_title;responses_formattedValue
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-100;"Proposal 100";"Contenu 100";;"2017-05-12 00:21:00";"2017-05-12 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-99;"Proposal 99";"Contenu 99";;"2017-05-11 00:21:00";"2017-05-11 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-98;"Proposal 98";"Contenu 98";;"2017-05-10 00:21:00";"2017-05-10 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-97;"Proposal 97";"Contenu 97";;"2017-05-09 00:21:00";"2017-05-09 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-96;"Proposal 96";"Contenu 96";;"2017-05-08 00:21:00";"2017-05-08 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-95;"Proposal 95";"Contenu 95";;"2017-05-07 00:21:00";"2017-05-07 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-94;"Proposal 94";"Contenu 94";;"2017-05-06 00:21:00";"2017-05-06 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-93;"Proposal 93";"Contenu 93";;"2017-05-05 00:21:00";"2017-05-05 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-92;"Proposal 92";"Contenu 92";;"2017-05-04 00:21:00";"2017-05-04 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-91;"Proposal 91";"Contenu 91";;"2017-05-03 00:21:00";"2017-05-03 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-90;"Proposal 90";"Contenu 90";;"2017-05-02 00:21:00";"2017-05-02 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-89;"Proposal 89";"Contenu 89";;"2017-05-01 00:21:00";"2017-05-01 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-88;"Proposal 88";"Contenu 88";;"2017-04-30 00:21:00";"2017-04-30 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-87;"Proposal 87";"Contenu 87";;"2017-04-29 00:21:00";"2017-04-29 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-86;"Proposal 86";"Contenu 86";;"2017-04-28 00:21:00";"2017-04-28 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-85;"Proposal 85";"Contenu 85";;"2017-04-27 00:21:00";"2017-04-27 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-84;"Proposal 84";"Contenu 84";;"2017-04-26 00:21:00";"2017-04-26 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-83;"Proposal 83";"Contenu 83";;"2017-04-25 00:21:00";"2017-04-25 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-82;"Proposal 82";"Contenu 82";;"2017-04-24 00:21:00";"2017-04-24 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-81;"Proposal 81";"Contenu 81";;"2017-04-23 00:21:00";"2017-04-23 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-80;"Proposal 80";"Contenu 80";;"2017-04-22 00:21:00";"2017-04-22 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-79;"Proposal 79";"Contenu 79";;"2017-04-21 00:21:00";"2017-04-21 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-78;"Proposal 78";"Contenu 78";;"2017-04-20 00:21:00";"2017-04-20 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-77;"Proposal 77";"Contenu 77";;"2017-04-19 00:21:00";"2017-04-19 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-76;"Proposal 76";"Contenu 76";;"2017-04-18 00:21:00";"2017-04-18 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-75;"Proposal 75";"Contenu 75";;"2017-04-17 00:21:00";"2017-04-17 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-74;"Proposal 74";"Contenu 74";;"2017-04-16 00:21:00";"2017-04-16 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-73;"Proposal 73";"Contenu 73";;"2017-04-15 00:21:00";"2017-04-15 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-72;"Proposal 72";"Contenu 72";;"2017-04-14 00:21:00";"2017-04-14 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-71;"Proposal 71";"Contenu 71";;"2017-04-13 00:21:00";"2017-04-13 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-70;"Proposal 70";"Contenu 70";;"2017-04-12 00:21:00";"2017-04-12 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-69;"Proposal 69";"Contenu 69";;"2017-04-11 00:21:00";"2017-04-11 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-68;"Proposal 68";"Contenu 68";;"2017-04-10 00:21:00";"2017-04-10 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-67;"Proposal 67";"Contenu 67";;"2017-04-09 00:21:00";"2017-04-09 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-66;"Proposal 66";"Contenu 66";;"2017-04-08 00:21:00";"2017-04-08 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-65;"Proposal 65";"Contenu 65";;"2017-04-07 00:21:00";"2017-04-07 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-64;"Proposal 64";"Contenu 64";;"2017-04-06 00:21:00";"2017-04-06 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-63;"Proposal 63";"Contenu 63";;"2017-04-05 00:21:00";"2017-04-05 00:21:00";;;;
https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-62;"Proposal 62";"Contenu 62";;"2017-04-04 00:21:00";"2017-04-04 00:21:00";;;;
