comment_type,comment_id,comment_related_id,comment_related_type,comment_body,comment_createdAt,comment_publishedAt,comment_updatedAt,comment_pinned,comment_publicationStatus
eventComment,Q29tbWVudDpldmVudENvbW1lbnQ0OQ==,,,"Commentaire n°49","2018-04-06 00:00:00","2018-04-06 00:00:00","2018-04-06 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQ0OA==,,,"Commentaire n°48","2018-04-05 00:00:00","2018-04-05 00:00:00","2018-04-05 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQ0Nw==,,,"Commentaire n°47","2018-04-04 00:00:00","2018-04-04 00:00:00","2018-04-04 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQ0Ng==,,,"Commentaire n°46","2018-04-03 00:00:00","2018-04-03 00:00:00","2018-04-03 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQ0NQ==,,,"Commentaire n°45","2018-04-02 00:00:00","2018-04-02 00:00:00","2018-04-02 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQ0NA==,,,"Commentaire n°44","2018-04-01 00:00:00","2018-04-01 00:00:00","2018-04-01 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQ0Mw==,,,"Commentaire n°43","2018-03-31 00:00:00","2018-03-31 00:00:00","2018-03-31 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQ0Mg==,,,"Commentaire n°42","2018-03-30 00:00:00","2018-03-30 00:00:00","2018-03-30 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQ0MQ==,,,"Commentaire n°41","2018-03-29 00:00:00","2018-03-29 00:00:00","2018-03-29 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQ0MA==,,,"Commentaire n°40","2018-03-28 00:00:00","2018-03-28 00:00:00","2018-03-28 00:00:00",No,PUBLISHED
