title,bodyText,section_title,createdAt,updatedAt,url,published,trashed,trashedAt,trashedReason,votes_totalCount,arguments_totalCount,sources_totalCount,versions_totalCount
"Opinion dans les exports","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","Première section dans la première consultation","2020-04-01 00:00:00",,https://capco.dev/consultations/projet-pour-consolider-les-exports/consultation/etape-de-multi-consultation-export/opinions/premiere-section-dans-la-premiere-consultation/opinion-dans-les-exports,1,0,,,0,0,0,0
"Opinion d hier 225","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","Sous-partie 1","2019-04-01 03:45:00","2019-04-01 03:45:00",https://capco.dev/consultations/projet-de-loi-renseignement/consultation/elaboration-de-la-loi/opinions/chapitre-ier-economie-de-la-donnee/section-1-ouverture-des-donnees-publiques/sous-partie-1/opinion-d-hier-225,1,0,,,0,0,0,0
"Opinion d hier 224","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","Sous-partie 1","2019-04-01 03:44:00","2019-04-01 03:44:00",https://capco.dev/consultations/projet-de-loi-renseignement/consultation/elaboration-de-la-loi/opinions/chapitre-ier-economie-de-la-donnee/section-1-ouverture-des-donnees-publiques/sous-partie-1/opinion-d-hier-224,1,0,,,0,0,0,0
"Opinion d hier 223","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","Sous-partie 1","2019-04-01 03:43:00","2019-04-01 03:43:00",https://capco.dev/consultations/projet-de-loi-renseignement/consultation/elaboration-de-la-loi/opinions/chapitre-ier-economie-de-la-donnee/section-1-ouverture-des-donnees-publiques/sous-partie-1/opinion-d-hier-223,1,0,,,0,0,0,0
"Opinion d hier 222","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","Sous-partie 1","2019-04-01 03:42:00","2019-04-01 03:42:00",https://capco.dev/consultations/projet-de-loi-renseignement/consultation/elaboration-de-la-loi/opinions/chapitre-ier-economie-de-la-donnee/section-1-ouverture-des-donnees-publiques/sous-partie-1/opinion-d-hier-222,1,0,,,0,0,0,0
"Opinion d hier 221","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","Sous-partie 1","2019-04-01 03:41:00","2019-04-01 03:41:00",https://capco.dev/consultations/projet-de-loi-renseignement/consultation/elaboration-de-la-loi/opinions/chapitre-ier-economie-de-la-donnee/section-1-ouverture-des-donnees-publiques/sous-partie-1/opinion-d-hier-221,1,0,,,0,0,0,0
"Opinion d hier 220","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","Sous-partie 1","2019-04-01 03:40:00","2019-04-01 03:40:00",https://capco.dev/consultations/projet-de-loi-renseignement/consultation/elaboration-de-la-loi/opinions/chapitre-ier-economie-de-la-donnee/section-1-ouverture-des-donnees-publiques/sous-partie-1/opinion-d-hier-220,1,0,,,0,0,0,0
"Opinion d hier 219","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","Sous-partie 1","2019-04-01 03:39:00","2019-04-01 03:39:00",https://capco.dev/consultations/projet-de-loi-renseignement/consultation/elaboration-de-la-loi/opinions/chapitre-ier-economie-de-la-donnee/section-1-ouverture-des-donnees-publiques/sous-partie-1/opinion-d-hier-219,1,0,,,0,0,0,0
"Opinion d hier 218","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","Sous-partie 1","2019-04-01 03:38:00","2019-04-01 03:38:00",https://capco.dev/consultations/projet-de-loi-renseignement/consultation/elaboration-de-la-loi/opinions/chapitre-ier-economie-de-la-donnee/section-1-ouverture-des-donnees-publiques/sous-partie-1/opinion-d-hier-218,1,0,,,0,0,0,0
"Opinion d hier 217","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.","Sous-partie 1","2019-04-01 03:37:00","2019-04-01 03:37:00",https://capco.dev/consultations/projet-de-loi-renseignement/consultation/elaboration-de-la-loi/opinions/chapitre-ier-economie-de-la-donnee/section-1-ouverture-des-donnees-publiques/sous-partie-1/opinion-d-hier-217,1,0,,,0,0,0,0
