questionnaire_title,createdAt,updatedAt,responses_question_title,responses_formattedValue
"Vote majo","2020-03-20 00:00:00","2020-03-20 00:00:00",,
"Vote majo","2020-03-20 00:00:00","2020-03-20 00:00:00",,
"Vote majo","2020-03-20 00:00:00","2020-03-20 00:00:00",,
"Vote majo","2020-03-20 00:00:00","2020-03-20 00:00:00",,
"Vote majo","2020-03-20 00:00:00","2020-03-20 00:00:00",,
"Vote majo","2020-03-20 00:00:00","2020-03-20 00:00:00",,
"Vote majo","2020-03-20 00:00:00","2020-03-20 00:00:00",,
"Questionnaire visible pour le group2","2019-03-20 00:00:00","2019-03-20 00:00:00",,
"Votre avis sur les JO 2024 à Paris","2019-03-20 00:00:00","2019-03-20 00:00:00",,
"Questionnaire non rattaché","2016-03-08 00:00:00","2019-03-08 00:00:00",,
