comment_type,comment_id,comment_related_id,comment_related_type,comment_body,comment_createdAt,comment_publishedAt,comment_updatedAt,comment_pinned,comment_publicationStatus
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQ2MA==,UHJvcG9zYWw6cHJvcG9zYWwzNw==,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 01:00:00","2017-02-01 01:00:00","2017-02-01 01:00:00",Yes,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQ1OQ==,UHJvcG9zYWw6cHJvcG9zYWwzNw==,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 00:59:00","2017-02-01 00:59:00","2017-02-01 00:59:00",Yes,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQ1OA==,UHJvcG9zYWw6cHJvcG9zYWwzNw==,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 00:58:00","2017-02-01 00:58:00","2017-02-01 00:58:00",Yes,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQ1Nw==,UHJvcG9zYWw6cHJvcG9zYWwzNw==,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 00:57:00","2017-02-01 00:57:00","2017-02-01 00:57:00",Yes,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQ1Ng==,UHJvcG9zYWw6cHJvcG9zYWwzNw==,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 00:56:00","2017-02-01 00:56:00","2017-02-01 00:56:00",Yes,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQyNw==,UHJvcG9zYWw6cHJvcG9zYWwyNw==,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 00:27:00","2017-02-01 00:27:00","2017-02-01 00:27:00",Yes,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQyNg==,UHJvcG9zYWw6cHJvcG9zYWwyNw==,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 00:26:00","2017-02-01 00:26:00","2017-02-01 00:26:00",Yes,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQyNQ==,UHJvcG9zYWw6cHJvcG9zYWwyNw==,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 00:25:00","2017-02-01 00:25:00","2017-02-01 00:25:00",Yes,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQyNA==,UHJvcG9zYWw6cHJvcG9zYWwyNw==,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 00:24:00","2017-02-01 00:24:00","2017-02-01 00:24:00",Yes,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQyMw==,UHJvcG9zYWw6cHJvcG9zYWwyNw==,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 00:23:00","2017-02-01 00:23:00","2017-02-01 00:23:00",Yes,PUBLISHED
