type,contributions_id,contributions_author_id,contributions_section_title,contributions_title,contributions_bodyText,contributions_createdAt,contributions_updatedAt,contributions_url,contributions_published,contributions_trashed,contributions_trashedStatus,contributions_trashedAt,contributions_trashedReason,contributions_votesCount,contributions_votesCountOk,contributions_votesCountMitige,contributions_votesCountNok,contributions_argumentsCount,contributions_argumentsCountFor,contributions_argumentsCountAgainst,contributions_sourcesCount,contributions_versionsCount,contributions_arguments_related_id,contributions_arguments_related_kind,contributions_arguments_id,contributions_arguments_author_id,contributions_arguments_type,contributions_arguments_body,contributions_arguments_createdAt,contributions_arguments_updatedAt,contributions_arguments_url,contributions_arguments_published,contributions_arguments_trashed,contributions_arguments_trashedStatus,contributions_arguments_trashedAt,contributions_arguments_trashedReason,contributions_arguments_votesCount,contributions_votes_id,contributions_votes_author_id,contributions_votes_value,contributions_votes_createdAt,contributions_reportings_related_id,contributions_reportings_related_kind,contributions_reportings_id,contributions_reportings_author_id,contributions_reportings_type,contributions_reportings_body,contributions_reportings_createdAt,contributions_sources_id,contributions_sources_related_id,contributions_sources_related_kind,contributions_sources_author_id,contributions_sources_trashed,contributions_sources_trashedStatus,contributions_sources_trashedAt,contributions_sources_trashedReason,contributions_sources_body,contributions_sources_createdAt,contributions_sources_updatedAt,contributions_sources_published,contributions_sources_votesCount,contribution_versions_id,contribution_versions_title,contribution_versions_bodyText,contribution_versions_createdAt,contribution_versions_updatedAt
opinion,opinion11,VXNlcjp1c2VyMTE=,"Les causes","Opinion 11","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",@datetime@,,https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-11,1,,,,,0,0,0,0,2,0,2,0,0,,,opinion11,VXNlcjp1c2VyMTE=,,,@datetime@,,https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-11,1,,,,,0,opinion11,VXNlcjp1c2VyMTE=,,@datetime@,,,opinion11,VXNlcjp1c2VyMTE=,,,@datetime@,opinion11,,,VXNlcjp1c2VyMTE=,,,,,,@datetime@,,1,0,opinion11,"Opinion 11","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",@datetime@,
argument,,,,,,,,,,,,,,,,,,,,,,,opinion11,opinion,argument157,VXNlcjp1c2VyMQ==,AGAINST,"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>",@datetime@,@datetime@,https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-11#arg-argument157,1,1,INVISIBLE,@datetime@,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argument,,,,,,,,,,,,,,,,,,,,,,,opinion11,opinion,argument167,VXNlcjp1c2VyNQ==,AGAINST,"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>",@datetime@,@datetime@,https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-11#arg-argument167,1,1,INVISIBLE,@datetime@,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opinion,opinion14,VXNlcjp1c2VyMTQ=,"Les causes","Opinion 14","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",@datetime@,,https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-14,1,,,,,0,0,0,0,0,0,0,0,0,,,opinion14,VXNlcjp1c2VyMTQ=,,,@datetime@,,https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-14,1,,,,,0,opinion14,VXNlcjp1c2VyMTQ=,,@datetime@,,,opinion14,VXNlcjp1c2VyMTQ=,,,@datetime@,opinion14,,,VXNlcjp1c2VyMTQ=,,,,,,@datetime@,,1,0,opinion14,"Opinion 14","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",@datetime@,
opinion,opinion15,VXNlcjp1c2VyMTU=,"Les causes","Opinion 15","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",@datetime@,,https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-15,1,,,,,0,0,0,0,3,2,1,0,0,,,opinion15,VXNlcjp1c2VyMTU=,,,@datetime@,,https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-15,1,,,,,0,opinion15,VXNlcjp1c2VyMTU=,,@datetime@,,,opinion15,VXNlcjp1c2VyMTU=,,,@datetime@,opinion15,,,VXNlcjp1c2VyMTU=,,,,,,@datetime@,,1,0,opinion15,"Opinion 15","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",@datetime@,
argument,,,,,,,,,,,,,,,,,,,,,,,opinion15,opinion,argument144,VXNlcjp1c2VyMw==,AGAINST,"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>",@datetime@,@datetime@,https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-15#arg-argument144,1,1,VISIBLE,@datetime@,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argument,,,,,,,,,,,,,,,,,,,,,,,opinion15,opinion,argument149,VXNlcjp1c2VyMQ==,FOR,"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>",@datetime@,@datetime@,https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-15#arg-argument149,1,1,VISIBLE,@datetime@,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argument,,,,,,,,,,,,,,,,,,,,,,,opinion15,opinion,argument160,VXNlcjp1c2VyNQ==,FOR,"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>",@datetime@,@datetime@,https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-15#arg-argument160,1,1,INVISIBLE,@datetime@,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opinion,opinion16,VXNlcjp1c2VyMTY=,"Les causes","Opinion 16","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",@datetime@,,https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-16,1,,,,,0,0,0,0,0,0,0,0,0,,,opinion16,VXNlcjp1c2VyMTY=,,,@datetime@,,https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-16,1,,,,,0,opinion16,VXNlcjp1c2VyMTY=,,@datetime@,,,opinion16,VXNlcjp1c2VyMTY=,,,@datetime@,opinion16,,,VXNlcjp1c2VyMTY=,,,,,,@datetime@,,1,0,opinion16,"Opinion 16","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",@datetime@,
opinion,opinion17,VXNlcjp1c2VyMTc=,"Les causes","Opinion 17","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",@datetime@,,https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-17,1,,,,,0,0,0,0,3,1,2,0,0,,,opinion17,VXNlcjp1c2VyMTc=,,,@datetime@,,https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-17,1,,,,,0,opinion17,VXNlcjp1c2VyMTc=,,@datetime@,,,opinion17,VXNlcjp1c2VyMTc=,,,@datetime@,opinion17,,,VXNlcjp1c2VyMTc=,,,,,,@datetime@,,1,0,opinion17,"Opinion 17","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",@datetime@,
