type,contributions_id,contributions_author_id,contributions_section_title,contributions_title,contributions_bodyText,contributions_createdAt,contributions_updatedAt,contributions_url,contributions_published,contributions_trashed,contributions_trashedStatus,contributions_trashedAt,contributions_trashedReason,contributions_votesCount,contributions_votesCountOk,contributions_votesCountMitige,contributions_votesCountNok,contributions_argumentsCount,contributions_argumentsCountFor,contributions_argumentsCountAgainst,contributions_sourcesCount,contributions_versionsCount,contributions_arguments_related_id,contributions_arguments_related_kind,contributions_arguments_id,contributions_arguments_author_id,contributions_arguments_type,contributions_arguments_body,contributions_arguments_createdAt,contributions_arguments_updatedAt,contributions_arguments_url,contributions_arguments_published,contributions_arguments_trashed,contributions_arguments_trashedStatus,contributions_arguments_trashedAt,contributions_arguments_trashedReason,contributions_arguments_votesCount,contributions_votes_id,contributions_votes_author_id,contributions_votes_value,contributions_votes_createdAt,contributions_reportings_related_id,contributions_reportings_related_kind,contributions_reportings_id,contributions_reportings_author_id,contributions_reportings_type,contributions_reportings_body,contributions_reportings_createdAt,contributions_sources_id,contributions_sources_related_id,contributions_sources_related_kind,contributions_sources_author_id,contributions_sources_trashed,contributions_sources_trashedStatus,contributions_sources_trashedAt,contributions_sources_trashedReason,contributions_sources_body,contributions_sources_createdAt,contributions_sources_updatedAt,contributions_sources_published,contributions_sources_votesCount,contribution_versions_id,contribution_versions_title,contribution_versions_bodyText,contribution_versions_createdAt,contribution_versions_updatedAt
opinion,e78b2fd1-52c7-11e9-b7f5-0242ac110005,VXNlcjowNWY4NDk1OS01MmM1LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,Emploi,"Un magasin de type ""boutique solidaire""","Pourquoi ne pas créer un magasin de type ""boutique Solidaire"" comme il en existe par ailleurs, ce qui permettrait d'avoir un lieu de vente d'une production propre (par exemple : confiture, jus de fruits, articles de confection, ...) et donnerait un lieu aux ouvriers (aux scolaires) permettant un travail et/ou un stage en lien avec le public ?","2019-03-30 09:43:34",,https://capco.dev/consultations/thematiques-a-aborder/consultation/consultation-2/opinions/emploi/un-magasin-de-type-boutique-solidaire,Yes,No,,,,0,0,0,0,0,0,0,0,0,,,e78b2fd1-52c7-11e9-b7f5-0242ac110005,VXNlcjowNWY4NDk1OS01MmM1LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-30 09:43:34",,https://capco.dev/consultations/thematiques-a-aborder/consultation/consultation-2/opinions/emploi/un-magasin-de-type-boutique-solidaire,Yes,No,,,,0,e78b2fd1-52c7-11e9-b7f5-0242ac110005,VXNlcjowNWY4NDk1OS01MmM1LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,"2019-03-30 09:43:34",,,e78b2fd1-52c7-11e9-b7f5-0242ac110005,VXNlcjowNWY4NDk1OS01MmM1LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-30 09:43:34",e78b2fd1-52c7-11e9-b7f5-0242ac110005,,,VXNlcjowNWY4NDk1OS01MmM1LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,No,,,,,"2019-03-30 09:43:34",,Yes,0,e78b2fd1-52c7-11e9-b7f5-0242ac110005,"Un magasin de type ""boutique solidaire""","Pourquoi ne pas créer un magasin de type ""boutique Solidaire"" comme il en existe par ailleurs, ce qui permettrait d'avoir un lieu de vente d'une production propre (par exemple : confiture, jus de fruits, articles de confection, ...) et donnerait un lieu aux ouvriers (aux scolaires) permettant un travail et/ou un stage en lien avec le public ?","2019-03-30 09:43:34",
opinion,f8a0e2e8-52c5-11e9-b7f5-0242ac110005,VXNlcjowNWY4NDk1OS01MmM1LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,Scolarisation,"Café joyeux sur Angers","Pourquoi ne pas envisager un lieu de type ""café joyeux"" sur Angers ?http://www.joyeux.fr/Avec un mix de café théatre pour donner la possibilité aux ateliers théatre ou autre de l'association d'avoir un lieu d'expression possible ?","2019-03-30 09:29:44",,https://capco.dev/consultations/thematiques-a-aborder/consultation/consultation-2/opinions/scolarisation/cafe-joyeux-sur-angers,Yes,No,,,,0,0,0,0,0,0,0,0,0,,,f8a0e2e8-52c5-11e9-b7f5-0242ac110005,VXNlcjowNWY4NDk1OS01MmM1LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-30 09:29:44",,https://capco.dev/consultations/thematiques-a-aborder/consultation/consultation-2/opinions/scolarisation/cafe-joyeux-sur-angers,Yes,No,,,,0,f8a0e2e8-52c5-11e9-b7f5-0242ac110005,VXNlcjowNWY4NDk1OS01MmM1LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,"2019-03-30 09:29:44",,,f8a0e2e8-52c5-11e9-b7f5-0242ac110005,VXNlcjowNWY4NDk1OS01MmM1LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-30 09:29:44",f8a0e2e8-52c5-11e9-b7f5-0242ac110005,,,VXNlcjowNWY4NDk1OS01MmM1LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,No,,,,,"2019-03-30 09:29:44",,Yes,0,f8a0e2e8-52c5-11e9-b7f5-0242ac110005,"Café joyeux sur Angers","Pourquoi ne pas envisager un lieu de type ""café joyeux"" sur Angers ?http://www.joyeux.fr/Avec un mix de café théatre pour donner la possibilité aux ateliers théatre ou autre de l'association d'avoir un lieu d'expression possible ?","2019-03-30 09:29:44",
opinion,28e427b9-5231-11e9-b7f5-0242ac110005,VXNlcjoxN2MzYzkzMy01MjI4LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,"Développement durable","Etre éco responsable","Etre responsable dans le choix des achats afin de limiter la production de déchets. Changer nos pratiques au quotidien pour être éco responsable","2019-03-29 15:44:30",,https://capco.dev/consultations/thematiques-a-aborder/consultation/consultation-2/opinions/developpement-durable/etre-eco-responsable,Yes,No,,,,0,0,0,0,0,0,0,0,0,,,28e427b9-5231-11e9-b7f5-0242ac110005,VXNlcjoxN2MzYzkzMy01MjI4LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-29 15:44:30",,https://capco.dev/consultations/thematiques-a-aborder/consultation/consultation-2/opinions/developpement-durable/etre-eco-responsable,Yes,No,,,,0,28e427b9-5231-11e9-b7f5-0242ac110005,VXNlcjoxN2MzYzkzMy01MjI4LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,"2019-03-29 15:44:30",,,28e427b9-5231-11e9-b7f5-0242ac110005,VXNlcjoxN2MzYzkzMy01MjI4LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-29 15:44:30",28e427b9-5231-11e9-b7f5-0242ac110005,,,VXNlcjoxN2MzYzkzMy01MjI4LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,No,,,,,"2019-03-29 15:44:30",,Yes,0,28e427b9-5231-11e9-b7f5-0242ac110005,"Etre éco responsable","Etre responsable dans le choix des achats afin de limiter la production de déchets. Changer nos pratiques au quotidien pour être éco responsable","2019-03-29 15:44:30",
opinion,5df22e38-5229-11e9-b7f5-0242ac110005,VXNlcjoxN2MzYzkzMy01MjI4LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,Emploi,"Participer à une journée DUO DAY","Le principe : partager une journée entre une personne valide et une personne handicapée. ","2019-03-29 14:48:43",,https://capco.dev/consultations/thematiques-a-aborder/consultation/consultation-2/opinions/emploi/participer-a-une-journee-duo-day,Yes,No,,,,0,0,0,0,0,0,0,0,0,,,5df22e38-5229-11e9-b7f5-0242ac110005,VXNlcjoxN2MzYzkzMy01MjI4LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-29 14:48:43",,https://capco.dev/consultations/thematiques-a-aborder/consultation/consultation-2/opinions/emploi/participer-a-une-journee-duo-day,Yes,No,,,,0,5df22e38-5229-11e9-b7f5-0242ac110005,VXNlcjoxN2MzYzkzMy01MjI4LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,"2019-03-29 14:48:43",,,5df22e38-5229-11e9-b7f5-0242ac110005,VXNlcjoxN2MzYzkzMy01MjI4LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-29 14:48:43",5df22e38-5229-11e9-b7f5-0242ac110005,,,VXNlcjoxN2MzYzkzMy01MjI4LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,No,,,,,"2019-03-29 14:48:43",,Yes,0,5df22e38-5229-11e9-b7f5-0242ac110005,"Participer à une journée DUO DAY","Le principe : partager une journée entre une personne valide et une personne handicapée. ","2019-03-29 14:48:43",
opinion,8d4509b5-522b-11e9-b7f5-0242ac110005,VXNlcjoxN2MzYzkzMy01MjI4LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,"Accès à la citoyenneté (droits...)","EA : accompagner les ouvriers dans les démarches administratives","Logement, banque, CPAM, mutuelle, CAF, etc...Utilisation des documents numériques et des sites internet (dématérialisation croissante) ","2019-03-29 15:04:21",,https://capco.dev/consultations/thematiques-a-aborder/consultation/consultation-2/opinions/acces-a-la-citoyennete-droits/ea-accompagner-les-ouvriers-dans-les-demarches-administratives,Yes,No,,,,0,0,0,0,0,0,0,0,0,,,8d4509b5-522b-11e9-b7f5-0242ac110005,VXNlcjoxN2MzYzkzMy01MjI4LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-29 15:04:21",,https://capco.dev/consultations/thematiques-a-aborder/consultation/consultation-2/opinions/acces-a-la-citoyennete-droits/ea-accompagner-les-ouvriers-dans-les-demarches-administratives,Yes,No,,,,0,8d4509b5-522b-11e9-b7f5-0242ac110005,VXNlcjoxN2MzYzkzMy01MjI4LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,"2019-03-29 15:04:21",,,8d4509b5-522b-11e9-b7f5-0242ac110005,VXNlcjoxN2MzYzkzMy01MjI4LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-29 15:04:21",8d4509b5-522b-11e9-b7f5-0242ac110005,,,VXNlcjoxN2MzYzkzMy01MjI4LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,No,,,,,"2019-03-29 15:04:21",,Yes,0,8d4509b5-522b-11e9-b7f5-0242ac110005,"EA : accompagner les ouvriers dans les démarches administratives","Logement, banque, CPAM, mutuelle, CAF, etc...Utilisation des documents numériques et des sites internet (dématérialisation croissante) ","2019-03-29 15:04:21",
opinion,d9d25bc9-5140-11e9-b7f5-0242ac110005,VXNlcjpiYjA5YTA0NC01MTMzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,Emploi,"Accompagner vers l'emploi","Développer les accompagnements vers l'emploi, de l'IME au milieu du travail, en passant par les différentes structures du monde de l'emploi (CAP et Pole Emploi, formation, etc).Nécessite des personnels formés aux spécificités des différents handicaps, des possibilités diverses de mise en emploi pour pallier l'absence de place en ESAT, EA, milieu ordinaire.Développer des emplois adaptés au particularité du handicap psychique, ce qui implique plus de diversité dans les propositions ! ","2019-03-28 11:04:18",,https://capco.dev/consultations/thematiques-a-aborder/consultation/consultation-2/opinions/emploi/accompagner-vers-lemploi,Yes,No,,,,0,0,0,0,0,0,0,0,0,,,d9d25bc9-5140-11e9-b7f5-0242ac110005,VXNlcjpiYjA5YTA0NC01MTMzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-28 11:04:18",,https://capco.dev/consultations/thematiques-a-aborder/consultation/consultation-2/opinions/emploi/accompagner-vers-lemploi,Yes,No,,,,0,d9d25bc9-5140-11e9-b7f5-0242ac110005,VXNlcjpiYjA5YTA0NC01MTMzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,"2019-03-28 11:04:18",,,d9d25bc9-5140-11e9-b7f5-0242ac110005,VXNlcjpiYjA5YTA0NC01MTMzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-28 11:04:18",d9d25bc9-5140-11e9-b7f5-0242ac110005,,,VXNlcjpiYjA5YTA0NC01MTMzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,No,,,,,"2019-03-28 11:04:18",,Yes,0,d9d25bc9-5140-11e9-b7f5-0242ac110005,"Accompagner vers l'emploi","Développer les accompagnements vers l'emploi, de l'IME au milieu du travail, en passant par les différentes structures du monde de l'emploi (CAP et Pole Emploi, formation, etc).Nécessite des personnels formés aux spécificités des différents handicaps, des possibilités diverses de mise en emploi pour pallier l'absence de place en ESAT, EA, milieu ordinaire.Développer des emplois adaptés au particularité du handicap psychique, ce qui implique plus de diversité dans les propositions ! ","2019-03-28 11:04:18",
opinion,b2fcbbac-513f-11e9-b7f5-0242ac110005,VXNlcjpiYjA5YTA0NC01MTMzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,Habitat,"un service, et après ?","Certaines personnes sont accompagnées depuis des années par des services à domicile. Au bout d'un temps, l'accompagnement n'évolue plus, car les difficultés ont été réduites au ""minimum"" et ne subsistent que les difficultés inhérentes au handicap.Comment penser une éventuelle fin d'accompagnement ? Faut-il s'en tenir simplement à l'absence de projet et couper court à la relation ? Est-il envisageable et pertinent de rester dans la situation, justement du fait de la qualité du lien qui participe du maintient à domicile (rendant difficile de passer le relai de veille à un partenaire)?  ","2019-03-28 10:56:03",,https://capco.dev/consultations/thematiques-a-aborder/consultation/consultation-2/opinions/habitat/un-service-et-apres,Yes,No,,,,0,0,0,0,0,0,0,0,0,,,b2fcbbac-513f-11e9-b7f5-0242ac110005,VXNlcjpiYjA5YTA0NC01MTMzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-28 10:56:03",,https://capco.dev/consultations/thematiques-a-aborder/consultation/consultation-2/opinions/habitat/un-service-et-apres,Yes,No,,,,0,b2fcbbac-513f-11e9-b7f5-0242ac110005,VXNlcjpiYjA5YTA0NC01MTMzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,"2019-03-28 10:56:03",,,b2fcbbac-513f-11e9-b7f5-0242ac110005,VXNlcjpiYjA5YTA0NC01MTMzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-28 10:56:03",b2fcbbac-513f-11e9-b7f5-0242ac110005,,,VXNlcjpiYjA5YTA0NC01MTMzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,No,,,,,"2019-03-28 10:56:03",,Yes,0,b2fcbbac-513f-11e9-b7f5-0242ac110005,"un service, et après ?","Certaines personnes sont accompagnées depuis des années par des services à domicile. Au bout d'un temps, l'accompagnement n'évolue plus, car les difficultés ont été réduites au ""minimum"" et ne subsistent que les difficultés inhérentes au handicap.Comment penser une éventuelle fin d'accompagnement ? Faut-il s'en tenir simplement à l'absence de projet et couper court à la relation ? Est-il envisageable et pertinent de rester dans la situation, justement du fait de la qualité du lien qui participe du maintient à domicile (rendant difficile de passer le relai de veille à un partenaire)?  ","2019-03-28 10:56:03",
opinion,6d36d650-50ac-11e9-b7f5-0242ac110005,VXNlcjozZTI1NjQ0OC1mOTY4LTExZTgtOTY3MC0wMjQyYWMxMTAwMDY=,Emploi,"ESAT travail à temps partiel","Le travail à temps partiel doit être un droit et sa possibilité systématiquement interrogée dans l'intérêt du travailleur qui le demande.Les congés des travailleurs doivent pouvoir être fractionnés et négociés au cas par cas avec comme priorité l'intérêt du travailleur.","2019-03-27 17:21:50","2019-03-27 17:26:49",https://capco.dev/consultations/thematiques-a-aborder/consultation/consultation-2/opinions/emploi/esat-travail-a-temps-partiel,Yes,No,,,,0,0,0,0,0,0,0,0,0,,,6d36d650-50ac-11e9-b7f5-0242ac110005,VXNlcjozZTI1NjQ0OC1mOTY4LTExZTgtOTY3MC0wMjQyYWMxMTAwMDY=,,,"2019-03-27 17:21:50","2019-03-27 17:26:49",https://capco.dev/consultations/thematiques-a-aborder/consultation/consultation-2/opinions/emploi/esat-travail-a-temps-partiel,Yes,No,,,,0,6d36d650-50ac-11e9-b7f5-0242ac110005,VXNlcjozZTI1NjQ0OC1mOTY4LTExZTgtOTY3MC0wMjQyYWMxMTAwMDY=,,"2019-03-27 17:21:50",,,6d36d650-50ac-11e9-b7f5-0242ac110005,VXNlcjozZTI1NjQ0OC1mOTY4LTExZTgtOTY3MC0wMjQyYWMxMTAwMDY=,,,"2019-03-27 17:21:50",6d36d650-50ac-11e9-b7f5-0242ac110005,,,VXNlcjozZTI1NjQ0OC1mOTY4LTExZTgtOTY3MC0wMjQyYWMxMTAwMDY=,No,,,,,"2019-03-27 17:21:50","2019-03-27 17:26:49",Yes,0,6d36d650-50ac-11e9-b7f5-0242ac110005,"ESAT travail à temps partiel","Le travail à temps partiel doit être un droit et sa possibilité systématiquement interrogée dans l'intérêt du travailleur qui le demande.Les congés des travailleurs doivent pouvoir être fractionnés et négociés au cas par cas avec comme priorité l'intérêt du travailleur.","2019-03-27 17:21:50","2019-03-27 17:26:49"
opinion,b3c92e5d-4fe7-11e9-b7f5-0242ac110005,VXNlcjo4ZDNjNmY0OS00YTNiLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,Emploi,"Creer un dispositif de transition pour les personnes ayant une réorientation vers un foyer de vie, qui sont maintenus en Esat.","Pourquoi ne pas mutualiser des moyens entre l'Esat et Les foyers de vie pour créer un dispositif, comme Apic's pour les IME et l'Esat?","2019-03-26 17:53:38",,https://capco.dev/consultations/thematiques-a-aborder/consultation/consultation-2/opinions/emploi/creer-un-dispositif-de-transition-pour-les-personnes-ayant-une-reorientation-vers-un-foyer-de-vie-qui-sont-maintenus-en-esat,Yes,No,,,,1,1,0,0,0,0,0,0,0,,,b3c92e5d-4fe7-11e9-b7f5-0242ac110005,VXNlcjo4ZDNjNmY0OS00YTNiLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-26 17:53:38",,https://capco.dev/consultations/thematiques-a-aborder/consultation/consultation-2/opinions/emploi/creer-un-dispositif-de-transition-pour-les-personnes-ayant-une-reorientation-vers-un-foyer-de-vie-qui-sont-maintenus-en-esat,Yes,No,,,,1,b3c92e5d-4fe7-11e9-b7f5-0242ac110005,VXNlcjo4ZDNjNmY0OS00YTNiLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,"2019-03-26 17:53:38",,,b3c92e5d-4fe7-11e9-b7f5-0242ac110005,VXNlcjo4ZDNjNmY0OS00YTNiLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-26 17:53:38",b3c92e5d-4fe7-11e9-b7f5-0242ac110005,,,VXNlcjo4ZDNjNmY0OS00YTNiLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,No,,,,,"2019-03-26 17:53:38",,Yes,1,b3c92e5d-4fe7-11e9-b7f5-0242ac110005,"Creer un dispositif de transition pour les personnes ayant une réorientation vers un foyer de vie, qui sont maintenus en Esat.","Pourquoi ne pas mutualiser des moyens entre l'Esat et Les foyers de vie pour créer un dispositif, comme Apic's pour les IME et l'Esat?","2019-03-26 17:53:38",
vote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3BpbmlvblZvdGU6NzA2,,YES,"2019-03-26 18:48:00",,,,,,,,,,,,,,,,,,,,,,,,,
