type,contributions_id,contributions_author_id,contributions_section_title,contributions_title,contributions_bodyText,contributions_createdAt,contributions_updatedAt,contributions_url,contributions_published,contributions_trashed,contributions_trashedStatus,contributions_trashedAt,contributions_trashedReason,contributions_votesCount,contributions_votesCountOk,contributions_votesCountMitige,contributions_votesCountNok,contributions_argumentsCount,contributions_argumentsCountFor,contributions_argumentsCountAgainst,contributions_sourcesCount,contributions_versionsCount,contributions_arguments_related_id,contributions_arguments_related_kind,contributions_arguments_id,contributions_arguments_author_id,contributions_arguments_type,contributions_arguments_body,contributions_arguments_createdAt,contributions_arguments_updatedAt,contributions_arguments_url,contributions_arguments_published,contributions_arguments_trashed,contributions_arguments_trashedStatus,contributions_arguments_trashedAt,contributions_arguments_trashedReason,contributions_arguments_votesCount,contributions_votes_id,contributions_votes_author_id,contributions_votes_value,contributions_votes_createdAt,contributions_reportings_related_id,contributions_reportings_related_kind,contributions_reportings_id,contributions_reportings_author_id,contributions_reportings_type,contributions_reportings_body,contributions_reportings_createdAt,contributions_sources_id,contributions_sources_related_id,contributions_sources_related_kind,contributions_sources_author_id,contributions_sources_trashed,contributions_sources_trashedStatus,contributions_sources_trashedAt,contributions_sources_trashedReason,contributions_sources_body,contributions_sources_createdAt,contributions_sources_updatedAt,contributions_sources_published,contributions_sources_votesCount,contribution_versions_id,contribution_versions_title,contribution_versions_bodyText,contribution_versions_createdAt,contribution_versions_updatedAt
opinion,6e1d425b-51f5-11e9-b7f5-0242ac110005,VXNlcjphZDhjMjBmYi01MWYzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,"Valeur 5 : Qualité de l'accompagnement","Faire attention à s'occuper de tous","A l'IME il y a des enfants qui font des crises, les adultes s'en occupent beaucoup et c'est pas toujours facile pour nous. On aimerait bien que nos éducateurs restent aussi avec nous et que ce soit plus calme. On aime bien avoir des moments seuls avec eux. Il faudrait plus de personnes comme Virginie (psychologue) avec qui on peut parler.","2019-03-29 08:36:56",,https://capco.dev/consultations/valeurs/consultation/consultation/opinions/valeur-5-qualite-de-laccompagnement/faire-attention-a-soccuper-de-tous,Yes,No,,,,0,0,0,0,0,0,0,0,0,,,6e1d425b-51f5-11e9-b7f5-0242ac110005,VXNlcjphZDhjMjBmYi01MWYzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-29 08:36:56",,https://capco.dev/consultations/valeurs/consultation/consultation/opinions/valeur-5-qualite-de-laccompagnement/faire-attention-a-soccuper-de-tous,Yes,No,,,,0,6e1d425b-51f5-11e9-b7f5-0242ac110005,VXNlcjphZDhjMjBmYi01MWYzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,"2019-03-29 08:36:56",,,6e1d425b-51f5-11e9-b7f5-0242ac110005,VXNlcjphZDhjMjBmYi01MWYzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-29 08:36:56",6e1d425b-51f5-11e9-b7f5-0242ac110005,,,VXNlcjphZDhjMjBmYi01MWYzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,No,,,,,"2019-03-29 08:36:56",,Yes,0,6e1d425b-51f5-11e9-b7f5-0242ac110005,"Faire attention à s'occuper de tous","A l'IME il y a des enfants qui font des crises, les adultes s'en occupent beaucoup et c'est pas toujours facile pour nous. On aimerait bien que nos éducateurs restent aussi avec nous et que ce soit plus calme. On aime bien avoir des moments seuls avec eux. Il faudrait plus de personnes comme Virginie (psychologue) avec qui on peut parler.","2019-03-29 08:36:56",
opinion,b9b95d09-51f4-11e9-b7f5-0242ac110005,VXNlcjphZDhjMjBmYi01MWYzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,"Valeur 3 : Valorisation des capacités des personnes handicapées","Respecter le handicap à l'école","Les autres enfants se sont moqués de nous quand on était à l'école. Des fois les profs disaient qu'on faisait exprès. C'est important de pas se moquer. A l'IME on se moque pas et on travaille bien avec les maîtresses.","2019-03-29 08:31:54",,https://capco.dev/consultations/valeurs/consultation/consultation/opinions/valeur-3-valorisation-des-capacites-des-personnes-handicapees/respecter-le-handicap-a-lecole,Yes,No,,,,0,0,0,0,0,0,0,0,0,,,b9b95d09-51f4-11e9-b7f5-0242ac110005,VXNlcjphZDhjMjBmYi01MWYzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-29 08:31:54",,https://capco.dev/consultations/valeurs/consultation/consultation/opinions/valeur-3-valorisation-des-capacites-des-personnes-handicapees/respecter-le-handicap-a-lecole,Yes,No,,,,0,b9b95d09-51f4-11e9-b7f5-0242ac110005,VXNlcjphZDhjMjBmYi01MWYzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,"2019-03-29 08:31:54",,,b9b95d09-51f4-11e9-b7f5-0242ac110005,VXNlcjphZDhjMjBmYi01MWYzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-29 08:31:54",b9b95d09-51f4-11e9-b7f5-0242ac110005,,,VXNlcjphZDhjMjBmYi01MWYzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,No,,,,,"2019-03-29 08:31:54",,Yes,0,b9b95d09-51f4-11e9-b7f5-0242ac110005,"Respecter le handicap à l'école","Les autres enfants se sont moqués de nous quand on était à l'école. Des fois les profs disaient qu'on faisait exprès. C'est important de pas se moquer. A l'IME on se moque pas et on travaille bien avec les maîtresses.","2019-03-29 08:31:54",
opinion,94c7b40a-513b-11e9-b7f5-0242ac110005,VXNlcjpiYjA5YTA0NC01MTMzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,"Valeur 5 : Qualité de l'accompagnement","Quelle qualité? pour qui?","La qualité de l'accompagnement passe nécessairement par la prise en compte de la personne (écoute, présence, échange en équipe et avec la personne)La notion de qualité d'accompagnement ne doit pas suggérer une obligation de résultats. Ne pas perdre de vue que les professionnels n'ont pas d'obligation de résultat. La qualité d'accompagnement passe avant tout par la qualité de la relation , qui s'instaure avec le temps et dans le respect de la personne. ","2019-03-28 10:26:35",,https://capco.dev/consultations/valeurs/consultation/consultation/opinions/valeur-5-qualite-de-laccompagnement/quelle-qualite-pour-qui,Yes,No,,,,0,0,0,0,0,0,0,0,0,,,94c7b40a-513b-11e9-b7f5-0242ac110005,VXNlcjpiYjA5YTA0NC01MTMzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-28 10:26:35",,https://capco.dev/consultations/valeurs/consultation/consultation/opinions/valeur-5-qualite-de-laccompagnement/quelle-qualite-pour-qui,Yes,No,,,,0,94c7b40a-513b-11e9-b7f5-0242ac110005,VXNlcjpiYjA5YTA0NC01MTMzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,"2019-03-28 10:26:35",,,94c7b40a-513b-11e9-b7f5-0242ac110005,VXNlcjpiYjA5YTA0NC01MTMzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-28 10:26:35",94c7b40a-513b-11e9-b7f5-0242ac110005,,,VXNlcjpiYjA5YTA0NC01MTMzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,No,,,,,"2019-03-28 10:26:35",,Yes,0,94c7b40a-513b-11e9-b7f5-0242ac110005,"Quelle qualité? pour qui?","La qualité de l'accompagnement passe nécessairement par la prise en compte de la personne (écoute, présence, échange en équipe et avec la personne)La notion de qualité d'accompagnement ne doit pas suggérer une obligation de résultats. Ne pas perdre de vue que les professionnels n'ont pas d'obligation de résultat. La qualité d'accompagnement passe avant tout par la qualité de la relation , qui s'instaure avec le temps et dans le respect de la personne. ","2019-03-28 10:26:35",
opinion,8285b40c-5139-11e9-b7f5-0242ac110005,VXNlcjpiYjA5YTA0NC01MTMzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,"Valeur 1 : Défense des droits","Prendre en compte le handicap dans son ensemble (physique ET psychique)","Se baser sur les capacités réelles de la personne et non pas à partir de grilles d'évaluation extérieures. (Mises en situation, accueil temporaire....)Pouvoir défendre ce point de vue auprès des partenaires extérieurs (MDA par exemple)","2019-03-28 10:11:45",,https://capco.dev/consultations/valeurs/consultation/consultation/opinions/valeur-1-defense-des-droits/prendre-en-compte-le-handicap-dans-son-ensemble-physique-et-psychique,Yes,No,,,,0,0,0,0,0,0,0,0,0,,,8285b40c-5139-11e9-b7f5-0242ac110005,VXNlcjpiYjA5YTA0NC01MTMzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-28 10:11:45",,https://capco.dev/consultations/valeurs/consultation/consultation/opinions/valeur-1-defense-des-droits/prendre-en-compte-le-handicap-dans-son-ensemble-physique-et-psychique,Yes,No,,,,0,8285b40c-5139-11e9-b7f5-0242ac110005,VXNlcjpiYjA5YTA0NC01MTMzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,"2019-03-28 10:11:45",,,8285b40c-5139-11e9-b7f5-0242ac110005,VXNlcjpiYjA5YTA0NC01MTMzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-28 10:11:45",8285b40c-5139-11e9-b7f5-0242ac110005,,,VXNlcjpiYjA5YTA0NC01MTMzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,No,,,,,"2019-03-28 10:11:45",,Yes,0,8285b40c-5139-11e9-b7f5-0242ac110005,"Prendre en compte le handicap dans son ensemble (physique ET psychique)","Se baser sur les capacités réelles de la personne et non pas à partir de grilles d'évaluation extérieures. (Mises en situation, accueil temporaire....)Pouvoir défendre ce point de vue auprès des partenaires extérieurs (MDA par exemple)","2019-03-28 10:11:45",
opinion,e8cffc38-5136-11e9-b7f5-0242ac110005,VXNlcjpiYjA5YTA0NC01MTMzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,"Valeur 1 : Défense des droits","Respect de la demande de la personne accompagnée","Faire valoir le droit de la personne à ne pas coller aux exigences sociétales.Ex: Une personne qui souhaite vivre en institution mais qui semble avoir les capacités techniques pour vivre seul. La tendance étant l'inclusion, comment soutenir malgré tout sa demande?","2019-03-28 09:53:08",,https://capco.dev/consultations/valeurs/consultation/consultation/opinions/valeur-1-defense-des-droits/respect-de-la-demande-de-la-personne-accompagnee,Yes,No,,,,0,0,0,0,0,0,0,0,0,,,e8cffc38-5136-11e9-b7f5-0242ac110005,VXNlcjpiYjA5YTA0NC01MTMzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-28 09:53:08",,https://capco.dev/consultations/valeurs/consultation/consultation/opinions/valeur-1-defense-des-droits/respect-de-la-demande-de-la-personne-accompagnee,Yes,No,,,,0,e8cffc38-5136-11e9-b7f5-0242ac110005,VXNlcjpiYjA5YTA0NC01MTMzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,"2019-03-28 09:53:08",,,e8cffc38-5136-11e9-b7f5-0242ac110005,VXNlcjpiYjA5YTA0NC01MTMzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-28 09:53:08",e8cffc38-5136-11e9-b7f5-0242ac110005,,,VXNlcjpiYjA5YTA0NC01MTMzLTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,No,,,,,"2019-03-28 09:53:08",,Yes,0,e8cffc38-5136-11e9-b7f5-0242ac110005,"Respect de la demande de la personne accompagnée","Faire valoir le droit de la personne à ne pas coller aux exigences sociétales.Ex: Une personne qui souhaite vivre en institution mais qui semble avoir les capacités techniques pour vivre seul. La tendance étant l'inclusion, comment soutenir malgré tout sa demande?","2019-03-28 09:53:08",
opinion,0d711ea9-4fee-11e9-b7f5-0242ac110005,VXNlcjo1ZjM1YjRhZi00NGU5LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,"Valeur 5 : Qualité de l'accompagnement","Prise en compte des contraintes liées à une démarche inclusive","La démarche d'inclusion nécessite d'expérimenter des mises en situation en extérieur notamment. Comment s'assurer que le reste de la charge de travail ne malmène pas les travailleurs toujours présents à l'ESAT?Doit-on prévoir d'accueillir de manière systématique des stagiaires sur ces périodes-là? (revoir nos modalités de travail avec nos partenaires IME/MDA...)Qui assure l'accompagnement des personnes en extérieur, de façon à ne pas pénaliser les autres suivis de parcours? Comment conjuguer l'accompagnement vers l'inclusion, tout en adaptant nos modalités d'accueil aux nouveaux publics? (formation, construction des partenariats...)","2019-03-26 18:39:05",,https://capco.dev/consultations/valeurs/consultation/consultation/opinions/valeur-5-qualite-de-laccompagnement/prise-en-compte-des-contraintes-liees-a-une-demarche-inclusive,Yes,No,,,,0,0,0,0,0,0,0,0,0,,,0d711ea9-4fee-11e9-b7f5-0242ac110005,VXNlcjo1ZjM1YjRhZi00NGU5LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-26 18:39:05",,https://capco.dev/consultations/valeurs/consultation/consultation/opinions/valeur-5-qualite-de-laccompagnement/prise-en-compte-des-contraintes-liees-a-une-demarche-inclusive,Yes,No,,,,0,0d711ea9-4fee-11e9-b7f5-0242ac110005,VXNlcjo1ZjM1YjRhZi00NGU5LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,"2019-03-26 18:39:05",,,0d711ea9-4fee-11e9-b7f5-0242ac110005,VXNlcjo1ZjM1YjRhZi00NGU5LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-26 18:39:05",0d711ea9-4fee-11e9-b7f5-0242ac110005,,,VXNlcjo1ZjM1YjRhZi00NGU5LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,No,,,,,"2019-03-26 18:39:05",,Yes,0,0d711ea9-4fee-11e9-b7f5-0242ac110005,"Prise en compte des contraintes liées à une démarche inclusive","La démarche d'inclusion nécessite d'expérimenter des mises en situation en extérieur notamment. Comment s'assurer que le reste de la charge de travail ne malmène pas les travailleurs toujours présents à l'ESAT?Doit-on prévoir d'accueillir de manière systématique des stagiaires sur ces périodes-là? (revoir nos modalités de travail avec nos partenaires IME/MDA...)Qui assure l'accompagnement des personnes en extérieur, de façon à ne pas pénaliser les autres suivis de parcours? Comment conjuguer l'accompagnement vers l'inclusion, tout en adaptant nos modalités d'accueil aux nouveaux publics? (formation, construction des partenariats...)","2019-03-26 18:39:05",
opinion,50bcd6e1-4a64-11e9-b7f5-0242ac110005,VXNlcjpjNzIzMDc2NC00YTU5LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,"Valeur 5 : Qualité de l'accompagnement","POLE EA"," Groupe de travail en accord avec la valeur Propositions d’orientations à donner :rajouter Bien-être au travail·         Allez vers plus d’interrogations ou écoute auprès des salariés TH via enquête ou baromètre social, ………….·         Travail sur l’amélioration des conditions de vie au travail via des améliorations immobilières, techniques (outils) ou environnementales (ex avec chaleur l’été).·        Travail sur l’amélioration de nos communications vers nos salariés·        Travail autour de l’ergonomie, de l’aménagement des postes, du bien-être à son poste·        Travail sur l’adaptation des métiers à fort risque de maladie professionnelle, TMS, …","2019-03-19 17:30:32",,https://capco.dev/consultations/valeurs/consultation/consultation/opinions/valeur-5-qualite-de-laccompagnement/pole-ea-5c9119284fade,Yes,No,,,,1,1,0,0,0,0,0,0,0,,,50bcd6e1-4a64-11e9-b7f5-0242ac110005,VXNlcjpjNzIzMDc2NC00YTU5LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-19 17:30:32",,https://capco.dev/consultations/valeurs/consultation/consultation/opinions/valeur-5-qualite-de-laccompagnement/pole-ea-5c9119284fade,Yes,No,,,,1,50bcd6e1-4a64-11e9-b7f5-0242ac110005,VXNlcjpjNzIzMDc2NC00YTU5LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,"2019-03-19 17:30:32",,,50bcd6e1-4a64-11e9-b7f5-0242ac110005,VXNlcjpjNzIzMDc2NC00YTU5LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-19 17:30:32",50bcd6e1-4a64-11e9-b7f5-0242ac110005,,,VXNlcjpjNzIzMDc2NC00YTU5LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,No,,,,,"2019-03-19 17:30:32",,Yes,1,50bcd6e1-4a64-11e9-b7f5-0242ac110005,"POLE EA"," Groupe de travail en accord avec la valeur Propositions d’orientations à donner :rajouter Bien-être au travail·         Allez vers plus d’interrogations ou écoute auprès des salariés TH via enquête ou baromètre social, ………….·         Travail sur l’amélioration des conditions de vie au travail via des améliorations immobilières, techniques (outils) ou environnementales (ex avec chaleur l’été).·        Travail sur l’amélioration de nos communications vers nos salariés·        Travail autour de l’ergonomie, de l’aménagement des postes, du bien-être à son poste·        Travail sur l’adaptation des métiers à fort risque de maladie professionnelle, TMS, …","2019-03-19 17:30:32",
vote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3BpbmlvblZvdGU6NzE4,,YES,"2019-03-26 20:45:57",,,,,,,,,,,,,,,,,,,,,,,,,
opinion,fd8142b1-4a63-11e9-b7f5-0242ac110005,VXNlcjpjNzIzMDc2NC00YTU5LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,"Valeur 4 : Respect de la particularité, de la différence","POLE EA","Groupe de travail en accord avec la valeurPropositions d’orientations à donner :·        Travail auprès de l’encadrement sur l’accompagnement des différentes et nouvelles pathologies en cours ou à venir (Difficultés psychologiques, jeunes loin de l’emploi, maladies invalidantes >>> formations, accompagnement différencié, adaptation du discours.·        Travail sur l’adéquation des besoins ou différences liés à chaque personne avec ses particularités : o   Par la prise en compte de la particularité (nouvelles pathologies) au niveau de la maitrise des ateliers (adaptation de la posture),o  Pour l’adéquation de l’aménagement et l’adaptation des postes de travail","2019-03-19 17:28:12",,https://capco.dev/consultations/valeurs/consultation/consultation/opinions/valeur-4-respect-de-la-particularite-de-la-difference/pole-ea-5c91189ca7697,Yes,No,,,,1,1,0,0,0,0,0,0,0,,,fd8142b1-4a63-11e9-b7f5-0242ac110005,VXNlcjpjNzIzMDc2NC00YTU5LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-19 17:28:12",,https://capco.dev/consultations/valeurs/consultation/consultation/opinions/valeur-4-respect-de-la-particularite-de-la-difference/pole-ea-5c91189ca7697,Yes,No,,,,1,fd8142b1-4a63-11e9-b7f5-0242ac110005,VXNlcjpjNzIzMDc2NC00YTU5LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,"2019-03-19 17:28:12",,,fd8142b1-4a63-11e9-b7f5-0242ac110005,VXNlcjpjNzIzMDc2NC00YTU5LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,,,"2019-03-19 17:28:12",fd8142b1-4a63-11e9-b7f5-0242ac110005,,,VXNlcjpjNzIzMDc2NC00YTU5LTExZTktYjdmNS0wMjQyYWMxMTAwMDU=,No,,,,,"2019-03-19 17:28:12",,Yes,1,fd8142b1-4a63-11e9-b7f5-0242ac110005,"POLE EA","Groupe de travail en accord avec la valeurPropositions d’orientations à donner :·        Travail auprès de l’encadrement sur l’accompagnement des différentes et nouvelles pathologies en cours ou à venir (Difficultés psychologiques, jeunes loin de l’emploi, maladies invalidantes >>> formations, accompagnement différencié, adaptation du discours.·        Travail sur l’adéquation des besoins ou différences liés à chaque personne avec ses particularités : o   Par la prise en compte de la particularité (nouvelles pathologies) au niveau de la maitrise des ateliers (adaptation de la posture),o  Pour l’adéquation de l’aménagement et l’adaptation des postes de travail","2019-03-19 17:28:12",
vote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3BpbmlvblZvdGU6NzE3,,YES,"2019-03-26 20:45:24",,,,,,,,,,,,,,,,,,,,,,,,,
