name,author,district_name,address,collect_status,estimation,category,summary,body,Adresse,Résumé,Objectif
"Aménagement piétons, mobilité circulation",Anne SOUNNAC,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,,"Mobilité, circulation",,"Refaire les trottoirs rue Fernand Combette, débaptiser le non de cette rue",Quartiers Signac et Ramenas,Refaire les trottoirs rue Fernand Combette et débaptiser le nom de cette rue,"Amélioration urbaine, mobilité"
Ouvrir le square rue Pépin aux familles et aux enfants,Rebecca.jourdain,Solidarité-Carnot / Centre Ville / Jean Moulin – Beaumonts,,Nouvelle proposition,30000,Aménagement et Mobilier Urbain,,"Il s'agit de l'aménager en y installant des bancs, ainsi qu'une aire de jeux pour les enfants.Ce square ne doit pas être un simple lieu de passage - voire, le soir, un lieu qu'on évite.Il est suffisamment grand pour accueillir les enfants du quartier qui souhaitent jouer en plein air, dans un espace vert, et pour permettre aux habitants des rues environnantes de bénéficier d'un lieu favorisant le lien social.",Rue Pépin,Aménagement du square Pépin,L'objectif de ce projet est de permettre aux Montreuillois du quartier de s'approprier le square rue Pépin (derrière l'église St Pierre-St-Paul) et de l'investir pleinement.
"Des coussins berlinois pour les
Montreuillois",Adeline DUCRET,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,,"Mobilité, circulation",,"Au niveau du croisement avec le boulevard Aristide Briand, le carrefour des deux rues apparaît aujourd'hui dangereux.","Entre le 100 et 110 de la rue Saint-Denis
et entre le 137 et 150 Boulevard Aristide
Briand","Des coussins berlinois dans les deux
sens de circulation et une signalétique
pour prévenir les véhicules pour améliorer
la sécurité et réduire les nuisances sonores",Ce projet répond à un double objectif: améliorer la sécurité routière et réduire les nuisances sonores.
Gloire aux nouveaux trottoirs!,Adeline DUCRET,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,,"Mobilité, circulation",,"Des travaux de réfection semblent absolument nécessaires aux usagers de ce secteur, composé d' équipements publics ( école, collège, bibliothèque) et de nombreuses habitations. Afin de faciliter l'accessibilité des piétons, notamment avec des poussettes, les trottoirs doivent être remis à niveau, goudronnés et agrémentés d'arbres et sécurisés avec de nouveaux plots anti stationnement. ","- La rue des Saules Clouets (jusqu'au croisement
de la rue Demi Lune).
- La rue Saint Denis ( du boulevard A.Briand au
carrefour Colonel Fabien).
- La rue Danielle Casanova.
- Le passage des écoles .","les trottoirs doivent être remis à niveau,
goudronnés et agrémentés d'arbres et
sécurisés avec de nouveaux plots
Anti stationnement.",Faciliter l'accessibilité des piétons
Un effort pour le terrain de sport!,Adeline DUCRET,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,,Sports,,"Le terrain de basket et de football situé à coté du gymnase Boissière, boulevard Aristide Briand est d'une rare vétusté. Le revêtement a absolument besoin d'être refait à neuf, avec un marquage au sol plus résistant.Enfin, les bordures actuellement délaissées, pourront être agrémentées de plantes et de fleurs grimpantes, le long de la nouvelle clôture.","Le terrain de sport situé à coté du gymnase Boissière, boulevard Aristide Briand.","- Refaire le revêtement à neuf + nouveau marquage
au sol plus resistant.
- Remplacement des paniers paniers de basket et
des buts.
- Des bancs en bois
- Nouvelle clôture (structure en bois)
- Agrémenter les bordures délaissées de plantes
et de fleurs grim",Pour donner l'envie de s'y rendre
Jardin et aliment à partager,Alan Homont,La Noue-Clos Français / Villiers-Barbuse,,Nouvelle proposition,,Espaces verts,,"Mise en place de bacs de jardinage potager bio qui permettraient à tous les habitants du quartier, de planter, cultiver et de manger des aliments sains. Une appropriation citoyenne de l'écologie,de travail en dehors du salariat, de l'espace public par les habitants (tour), de tisser le lien social. Cela part de conjuguer avec le futur bac à composter et peut-être les futurs ...",Quartier La Noue,"Mise en place de bacs de jardinage potager bio qui permettraient à tous de planter, cultiver et de manger sains","A l'alimentation, au partage, au jardinage, à la pédagogie (écoles, collèges, crèches, centres de loisirs et associations) à la coopération intergénérationnel"
Espace vert mobilité des piétons,Anne-Marie FOSLIN,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,250000,Aménagement et Mobilier Urbain,,"Les trottoirs sont difficilement empruntables, cela entraîne des incidences sur la sécurité des piétons.",Rue des Saules Clouet et avenue du Colonel Fabien,"Abattage des arbres dont les racines soulèvent le
Goudron des trottoirs et les remplacer par d'autres
Catégories d'arbres dont les racines s'enfoncent dans
Le sol","Eviter la déformation des rues et des trottoirs, dues aux énormes racines d'accacias "
Sécurisation des passages piétons,Annie Metayer ,Solidarité-Carnot / Centre Ville / Jean Moulin – Beaumonts,,Nouvelle proposition,,"Mobilité, circulation",,Sécurisation des passages piétons,TOUTE LA VILLE,"Installer des ralentisseurs devant chaque
Passage piéton sans feux",
résolution des soucis de stationnement pour les grands pêchers,Armand  Tabernat,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,,"Mobilité, circulation",,"Alors le projet est de réaménager la rue Lenain de Tillemont tout le long du jardin école pour que l'on puisse se garer, tout en conservant la piste cyclable.",,"stationnement anarchique: dans la rue Henri Wallon, du Super U aux pieds de la cité, la chaussé sert de parking. Un peu plus loin, du jardin école à l'école maternelle Henri Wallon, le stationnement se fait sur le trottoire, empechant son usage aux piéton",manque de stationnement dans le quartier des grands pêchers.
"""69 rue Pierre de Montreuil""",Association Lez'Arts dans les Murs,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,150000,Aménagement et Mobilier Urbain,,"L'association Lez'Arts dans les Murs qui gère un jardin partagé dans le site classé des Murs à Pêches, rue Pierre de Montreuil, a récemment signé une convention avec la Ville de Montreuil qui lui permet de disposer d'un accès sur la rue .Cet accès se situe au numéro 69 de la rue Pierre de Montreuil à la frontière entre le quartier des Murs à Pêches et celui du Bel Air, en face de la toute nouvelle rue de Cottbus. Afin d'en faire un vrai équipement de proximité pour les habitants du quartier et les Montreuillois en général voire plus largement tous les visiteurs des Murs à Pêches !",69 Rue Pierre de Montreuil,"Aménagement de cet espace pour y installer un
espace d'information/de réunions/d'ateliers sur les
associations et le site des Murs à Pêches,un point
sanitaire (toilettes sèches), des jeux pour enfants,
des arbres (pêchers), des bancs, des tables","Amélioration des conditions d'accueil dans le jardin partagé de l'association dans le site classé des Murs à pêches pour les enfants des centres de loisirs et des écoles de la Ville, mais aussi les habitants du quartier et les visiteurs en général"
Réaménagement en rue piétonne,BENYOUNES Cédric,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,30000,Aménagement et Mobilier Urbain,,Réaménagement en rue piétonne,'une portion de la rue de la Renardière.,"Aménagement en rue piétonne ouverte à la circulation d'une portion de la rue de la Renardière.

Marquage au sol en voie douce (cycles, piétons, …) extensible de la future station « Boissière Dhuys » à la future station du tramway « Césaria Evora » via la ",
